class,precision,recall,f1-score,support
Water,0.41818181818181815,0.92,0.575,25.0
GABAAR_Antagonist,0.6,0.25,0.35294117647058826,12.0
NMDAR_Activation,0.875,0.7,0.7777777777777778,10.0
AChE_Inhibitor_Reversible,0.0,0.0,0.0,12.0
mAChR_Agonist_NonSelective,0.3333333333333333,0.08333333333333333,0.13333333333333333,12.0
