epoch,train_loss,train_self_probe_loss,train_cross_probe_loss,train_lambda_cross,train_lambda_proto,train_prototype_alignment_loss,train_latent_alignment_loss,train_latent_alignment_weight,train_feature_alignment_loss,train_self_probe_local_loss,train_cross_probe_local_loss,train_self_probe_region_time_loss,train_cross_probe_region_time_loss,train_self_probe_derivative_loss,train_cross_probe_derivative_loss,train_self_probe_frequency_loss,train_cross_probe_frequency_loss,train_self_probe_correlation_loss,train_cross_probe_correlation_loss,val_loss,val_self_probe_loss,val_cross_probe_loss,val_lambda_cross,val_lambda_proto,val_prototype_alignment_loss,val_latent_alignment_loss,val_latent_alignment_weight,val_feature_alignment_loss,val_self_probe_local_loss,val_cross_probe_local_loss,val_self_probe_region_time_loss,val_cross_probe_region_time_loss,val_self_probe_derivative_loss,val_cross_probe_derivative_loss,val_self_probe_frequency_loss,val_cross_probe_frequency_loss,val_self_probe_correlation_loss,val_cross_probe_correlation_loss,monitor_metric_raw,monitor_metric,monitor_key
1,2.554507361956014,2.554507361956014,0.1041246992336539,0.0,0.0,4.464351951356253,0.4126144999599352,0.0,0.4126144999599352,0.9938076771305042,0.04667322875361411,1.49900995019075,0.039041981526316195,0.017714233851238152,0.04159514605998993,0.023854399216489134,0.05792076915960542,1.0975133206135093,0.04437250783002468,6.968603892587357,6.968603892587357,0.07509934550486737,0.0,0.0,4.365975107465472,0.4045691760430425,0.0,0.4045691760430425,2.6347518928395295,0.037380500470999604,4.273803976277665,0.024800410598331355,0.01701941522798553,0.028457542083093097,0.03342526981040188,0.04687662573056932,1.04901117049389,0.022327726880400817,6.968603892587357,6.968603892587357,val_self_probe_loss
2,2.5132595760958387,2.5132595760958387,0.10038082959165165,0.0,0.0,4.504419560751721,0.5454978596758502,0.0,0.5454978596758502,0.9629793721123401,0.05096000052669569,1.4947758542392178,0.03386160886706427,0.012921833608025516,0.03405182863433327,0.018441689608600216,0.051317552368347785,1.0085949685780329,0.038290158466207994,6.926346720745845,6.926346720745845,0.07713441606263936,0.0,0.0,4.427271375004549,0.5287998000287121,0.0,0.5287998000287121,2.6054258931728995,0.04550895067105382,4.267255503626436,0.021153414217026337,0.01208966980566797,0.020015325212145444,0.027919579277058012,0.036925794984798255,0.9570122661057466,0.03551281141753523,6.926346720745845,6.9474753066666,val_self_probe_loss
3,2.479349571839384,2.479349571839384,0.10400032076236314,0.0,0.0,4.514711014656545,0.6521800648498745,0.0,0.6521800648498745,0.9398825650321142,0.0596936658008431,1.4889245563801112,0.03060503708429708,0.009973663858186073,0.026476894735341275,0.01465998889937686,0.042053857121031844,0.931659266925146,0.05754016492716175,6.88956167814987,6.88956167814987,0.07875444716918542,0.0,0.0,4.450728999902003,0.5931029564105206,0.0,0.5931029564105206,2.5821415943018398,0.05224893387892972,4.257798504685948,0.017290568465124004,0.010329748303571612,0.014040162509180004,0.02470487730739557,0.027482098627904926,0.8913614313054529,0.05913388847101549,6.88956167814987,6.926346720745845,val_self_probe_loss
4,2.4567522439946194,2.4567522439946194,0.10393368180444552,0.0,0.0,4.493527081612044,0.6906001209950997,0.0,0.6906001209950997,0.923553508686967,0.0653476674154679,1.4857755536469095,0.0260692410330512,0.008344192372718837,0.02008706856310433,0.012345046999033145,0.03236608863138603,0.8820503464645403,0.0851679433517477,6.860141041069667,6.860141041069667,0.0799263066941907,0.0,0.0,4.432260033506784,0.5985512052263532,0.0,0.5985512052263532,2.564834704478011,0.057155854213311805,4.248229039130119,0.01391895555006051,0.009801992166046956,0.009895347567818921,0.023423990591932436,0.020164968469035552,0.8456857158160358,0.08722326936929123,6.860141041069667,6.88956167814987,val_self_probe_loss
5,2.438294037865755,2.438294037865755,0.1047813350050562,0.0,0.0,4.460105360012284,0.6953662325731355,0.0,0.6953662325731355,0.9116548009862884,0.07034601276059575,1.4810963371435322,0.022472325978242474,0.007710501140660303,0.015534558763848178,0.011241400194723408,0.02525223330742834,0.849818158097377,0.11108266563859127,6.835816231619868,6.835816231619868,0.0828043597270243,0.0,0.0,4.401385517594237,0.5930561193768282,0.0,0.5930561193768282,2.550151547602152,0.06086452043852451,4.239932240351386,0.012796885119924634,0.009619372575804128,0.007981208462545776,0.02276816163848368,0.014863774342381435,0.8210236148804612,0.11322548717075254,6.835816231619868,6.860141041069667,val_self_probe_loss
6,2.4260961585213012,2.4260961585213012,0.10549854343239745,0.0,0.0,4.4152583447821705,0.6844070152053456,0.0,0.6844070152053456,0.9053084048699142,0.07331228937491627,1.4766458803552696,0.020221728553461844,0.006866492997572791,0.012171376905476615,0.010439896360591757,0.019627718365333082,0.8276260347973502,0.13917819197104608,6.812351488595053,6.812351488595053,0.08060652563660782,0.0,0.0,4.35686671215555,0.5514204703872989,0.0,0.5514204703872989,2.5383630354385476,0.05972172204196823,4.229261147488857,0.01160945262042632,0.009321533597612418,0.0059841073505719255,0.022327775194205528,0.0115314924291202,0.8032752952960708,0.1325234950791975,6.812351488595053,6.835816231619868,val_self_probe_loss
7,2.40972787333176,2.40972787333176,0.10646123237065505,0.0,0.0,4.371884455403434,0.6574309815036217,0.0,0.6574309815036217,0.8954751655361263,0.07600995186720408,1.470959358203555,0.018579979330039575,0.00609533252699544,0.009496229786618023,0.009305710077764207,0.015432524246405952,0.8167779490139037,0.15907982564260356,6.7881620250503465,6.7881620250503465,0.09031358324222682,0.0,0.0,4.32700955053294,0.5566335044662405,0.0,0.5566335044662405,2.525530816096327,0.06815208869506113,4.218724627094054,0.0122250058335362,0.009022891348638566,0.004786833741858324,0.022046625681412378,0.0089159507871322,0.7889153911090045,0.15696367029077518,6.7881620250503465,6.812351488595053,val_self_probe_loss
8,2.3956261327905266,2.3956261327905266,0.11118419942753768,0.0,0.0,4.33721660337647,0.6476737473458543,0.0,0.6476737473458543,0.8887203182620288,0.08041334373858051,1.4644559239876649,0.018612373552799356,0.005400925924036444,0.007589230977375016,0.008990010700539229,0.012758141166799417,0.8040132493140538,0.17970719598192808,6.761340096893703,6.761340096893703,0.09508554267216913,0.0,0.0,4.297730647258877,0.5742677520520939,0.0,0.5742677520520939,2.51152734096619,0.07264726081434984,4.206852931977591,0.01179903316433015,0.008549936570737639,0.00325122229199602,0.021495449837580647,0.007835314545479621,0.7734543014757381,0.18085824221557711,6.761340096893703,6.7881620250503465,val_self_probe_loss
9,2.38431074840766,2.38431074840766,0.1127197958537174,0.0,0.0,4.301898348606247,0.6428175336312253,0.0,0.6428175336312253,0.8827691501298864,0.08235646826833584,1.459676282864747,0.018204731697014212,0.004732148190214003,0.006007393242936462,0.008283718118012671,0.010473505055079999,0.7970794822722183,0.1921879396611328,6.739746262880494,6.739746262880494,0.0900554750461756,0.0,0.0,4.260188529210061,0.5212958331063667,0.0,0.5212958331063667,2.5018977588678926,0.06786978605741299,4.195214876161761,0.011604886212796898,0.008316568326731414,0.002606715671486736,0.021198703435984272,0.005833477019014196,0.7687113577534693,0.18691552351720586,6.739746262880494,6.761340096893703,val_self_probe_loss
10,2.3733213590713613,2.3733213590713613,0.11652371683183538,0.0,0.0,4.275726170754459,0.6178524675405902,0.0,0.6178524675405902,0.8768681141411891,0.0854960874655375,1.4551002328395517,0.018475671431701937,0.004246513782484144,0.004869496372132741,0.007752631462008399,0.008715414845933637,0.7903212349448848,0.20926083979308277,6.70903298280763,6.70903298280763,0.10161188938973113,0.0,0.0,4.250624733682004,0.545406248628723,0.0,0.545406248628723,2.486952470465106,0.07717820245379246,4.17991894639317,0.013077296252992953,0.008213928089728753,0.001948606603206222,0.02090814831899479,0.0053549546239353854,0.760335852270541,0.20667487068205886,6.70903298280763,6.739746262880494,val_self_probe_loss
