class,precision,recall,f1-score,support
control,0.5,0.84,0.6268656716417911,25.0
high,0.7272727272727273,0.32,0.4444444444444444,25.0
mid,0.4444444444444444,0.38095238095238093,0.41025641025641024,21.0
