Experiment id: 13C_finetune_commutative_cnn_20260702_151104
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/13C/runs/13C_finetune_commutative_cnn_20260702_151104
Using pretrained encoder checkpoint: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/10C/runs/10C_pretrain_commutative_cnn_20260701_130752/10C_pretrain_commutative_cnn_20260701_130752_encoder_state.pt
Fine-tune loss PDFs: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/13C/runs/13C_finetune_commutative_cnn_20260702_151104/loss_plots/fine_tune
Commutative CNN model: parameters=183,903 trainable=183,903 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trA=train_action_loss
    trWO=train_water_vs_other_loss
    trFA=train_feature_alignment_loss
    trCo=train_compound_loss
    trCn=train_concentration_loss
    vaL=val_loss
    vaA=val_action_loss
    vaWO=val_water_vs_other_loss
    vaFA=val_feature_alignment_loss
    vaCo=val_compound_loss
    vaCn=val_concentration_loss
     ep       lr       eta |      trL      trA     trWO     trFA     trCo     trCn |      vaL      vaA     vaWO     vaFA     vaCo     vaCn
030/120 8.00e-06  12:53:50 |   2.8040   1.1917   0.6078   2.0255   2.1704   1.0569 |   2.8116   1.1516   0.6735   2.9123   2.1956   1.1138
031/120 8.00e-06  12:34:29 |   2.7913   1.1835   0.6066   2.0020   2.1618   1.0565 |   2.7860   1.1365   0.6729   2.8551   2.1777   1.1115
032/120 8.00e-06  12:16:00 |   2.7899   1.1810   0.6065   2.0564   2.1616   1.0567 |   2.8132   1.1533   0.6730   2.9240   2.1964   1.1165
033/120 8.00e-06  11:58:28 |   2.7621   1.1699   0.6052   2.0190   2.1394   1.0564 |   2.7795   1.1320   0.6720   2.8705   2.1734   1.1126
034/120 8.00e-06  11:41:39 |   2.7535   1.1684   0.6043   2.0657   2.1317   1.0539 |   2.7832   1.1343   0.6721   2.9402   2.1760   1.1133
035/120 8.00e-06  11:25:26 |   2.7566   1.1709   0.6040   2.0056   2.1335   1.0556 |   2.7669   1.1254   0.6719   2.8125   2.1641   1.1140
036/120 8.00e-06  11:09:43 |   2.7408   1.1640   0.6024   2.0290   2.1211   1.0539 |   2.7659   1.1255   0.6725   2.8576   2.1630   1.1146
037/120 8.00e-06  10:54:39 |   2.7237   1.1549   0.6022   2.0148   2.1086   1.0533 |   2.7438   1.1113   0.6739   2.8121   2.1480   1.1139
038/120 8.00e-06  10:40:05 |   2.7213   1.1559   0.6017   2.0183   2.1057   1.0540 |   2.7400   1.1098   0.6723   2.7000   2.1450   1.1138
039/120 8.00e-06  10:26:07 |   2.7274   1.1610   0.6004   1.9901   2.1093   1.0519 |   2.7173   1.0951   0.6713   2.6779   2.1297   1.1103
040/120 8.00e-06  10:12:31 |   2.7008   1.1464   0.5995   2.0001   2.0901   1.0521 |   2.7289   1.1019   0.6747   2.7836   2.1377   1.1153
041/120 8.00e-06   9:59:28 |   2.6953   1.1415   0.5995   2.0590   2.0869   1.0524 |   2.7312   1.1033   0.6762   2.8321   2.1393   1.1166
042/120 8.00e-06   9:46:50 |   2.6826   1.1339   0.5983   2.0107   2.0781   1.0527 |   2.7324   1.1059   0.6750   2.7095   2.1391   1.1169
043/120 8.00e-06   9:34:34 |   2.6760   1.1339   0.5971   2.0406   2.0716   1.0501 |   2.6996   1.0844   0.6737   2.6942   2.1172   1.1139
044/120 8.00e-06   9:22:33 |   2.6710   1.1349   0.5982   2.0409   2.0661   1.0502 |   2.6986   1.0824   0.6746   2.7225   2.1172   1.1152
045/120 8.00e-06   9:10:53 |   2.6543   1.1217   0.5963   2.0389   2.0560   1.0512 |   2.7018   1.0852   0.6771   2.6965   2.1189   1.1189
046/120 8.00e-06   8:59:34 |   2.6510   1.1247   0.5974   2.0042   2.0512   1.0520 |   2.6773   1.0695   0.6721   2.6079   2.1024   1.1134
047/120 8.00e-06   8:48:30 |   2.6426   1.1152   0.5936   2.0277   2.0476   1.0498 |   2.7030   1.0845   0.6799   2.8743   2.1202   1.1234
048/120 8.00e-06   8:37:42 |   2.6275   1.1097   0.5950   2.0426   2.0352   1.0499 |   2.7148   1.0964   0.6796   2.9510   2.1260   1.1262
049/120 8.00e-06   8:27:08 |   2.6179   1.1086   0.5948   2.0942   2.0262   1.0482 |   2.6676   1.0619   0.6745   2.6863   2.0964   1.1166
050/120 8.00e-06   8:16:47 |   2.6196   1.1060   0.5946   2.0158   2.0291   1.0503 |   2.6976   1.0832   0.6805   2.8996   2.1154   1.1259
051/120 8.00e-06   8:06:34 |   2.6115   1.1012   0.5953   2.0473   2.0235   1.0486 |   2.6586   1.0560   0.6716   2.7142   2.0905   1.1154
052/120 8.00e-06   7:56:39 |   2.6071   1.1021   0.5941   2.0903   2.0187   1.0467 |   2.6568   1.0554   0.6728   2.7041   2.0888   1.1172
053/120 8.00e-06   7:46:52 |   2.5859   1.0910   0.5936   2.0921   2.0031   1.0451 |   2.6465   1.0470   0.6713   2.7157   2.0829   1.1143
054/120 8.00e-06   7:37:11 |   2.5945   1.0857   0.5936   2.0498   2.0143   1.0477 |   2.6740   1.0657   0.6791   2.9308   2.1006   1.1243
055/120 8.00e-06   7:27:48 |   2.5882   1.0945   0.5907   2.0964   2.0036   1.0458 |   2.6573   1.0533   0.6789   2.8259   2.0902   1.1232
056/120 8.00e-06   7:18:34 |   2.5924   1.0953   0.5929   2.1029   2.0075   1.0462 |   2.6358   1.0420   0.6690   2.6721   2.0746   1.1143
057/120 8.00e-06   7:09:30 |   2.5759   1.0859   0.5900   2.1275   1.9957   1.0441 |   2.6462   1.0462   0.6743   2.8236   2.0828   1.1215
058/120 8.00e-06   7:00:31 |   2.5585   1.0720   0.5905   2.0988   1.9852   1.0441 |   2.6491   1.0462   0.6811   2.8161   2.0854   1.1262
059/120 8.00e-06   6:51:45 |   2.5487   1.0678   0.5888   2.1288   1.9777   1.0416 |   2.6357   1.0359   0.6777   2.7829   2.0773   1.1234
060/120 8.00e-06   6:43:01 |   2.5575   1.0738   0.5884   2.1470   1.9835   1.0429 |   2.6390   1.0405   0.6768   2.8405   2.0783   1.1247
061/120 8.00e-06   6:34:30 |   2.5491   1.0729   0.5887   2.1792   1.9755   1.0432 |   2.6322   1.0379   0.6747   2.7865   2.0728   1.1232
062/120 8.00e-06   6:26:06 |   2.5530   1.0717   0.5898   2.1692   1.9800   1.0420 |   2.6200   1.0258   0.6756   2.7455   2.0667   1.1213
063/120 8.00e-06   6:17:51 |   2.5199   1.0548   0.5889   2.1748   1.9555   1.0398 |   2.6371   1.0343   0.6845   2.9014   2.0791   1.1321
064/120 8.00e-06   6:09:39 |   2.5367   1.0629   0.5874   2.2006   1.9683   1.0379 |   2.6118   1.0216   0.6732   2.7129   2.0607   1.1201
065/120 8.00e-06   6:01:34 |   2.5169   1.0534   0.5880   2.1838   1.9531   1.0422 |   2.6155   1.0237   0.6775   2.7347   2.0632   1.1239
066/120 8.00e-06   5:53:32 |   2.5433   1.0697   0.5867   2.2493   1.9714   1.0390 |   2.6309   1.0302   0.6859   2.9070   2.0749   1.1340
