class,precision,recall,f1-score,support
Water,0.4107142857142857,0.92,0.5679012345679012,25.0
GABAAR_Antagonist,0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0
NMDAR_Activation,0.8571428571428571,0.6,0.7058823529411765,10.0
AChE_Inhibitor_Reversible,0.0,0.0,0.0,12.0
mAChR_Agonist_NonSelective,0.5,0.08333333333333333,0.14285714285714285,12.0
