class,precision,recall,f1-score,support
control,0.4107142857142857,0.92,0.5679012345679012,25.0
high,0.5384615384615384,0.28,0.3684210526315789,25.0
mid,0.5,0.047619047619047616,0.08695652173913043,21.0
