epoch,train_loss,train_self_probe_loss,train_cross_probe_loss,train_lambda_cross,train_lambda_proto,train_prototype_alignment_loss,train_latent_alignment_loss,train_latent_alignment_weight,train_feature_alignment_loss,train_self_probe_local_loss,train_cross_probe_local_loss,train_self_probe_region_time_loss,train_cross_probe_region_time_loss,train_self_probe_derivative_loss,train_cross_probe_derivative_loss,train_self_probe_frequency_loss,train_cross_probe_frequency_loss,train_self_probe_correlation_loss,train_cross_probe_correlation_loss,val_loss,val_self_probe_loss,val_cross_probe_loss,val_lambda_cross,val_lambda_proto,val_prototype_alignment_loss,val_latent_alignment_loss,val_latent_alignment_weight,val_feature_alignment_loss,val_self_probe_local_loss,val_cross_probe_local_loss,val_self_probe_region_time_loss,val_cross_probe_region_time_loss,val_self_probe_derivative_loss,val_cross_probe_derivative_loss,val_self_probe_frequency_loss,val_cross_probe_frequency_loss,val_self_probe_correlation_loss,val_cross_probe_correlation_loss,monitor_metric_raw,monitor_metric,monitor_key
1,2.5520016529099476,2.5520016529099476,0.12092243142336051,0.0,0.0,4.605178268759232,0.4769224435516299,0.0,0.4769224435516299,0.9890789298011495,0.05162040284056826,1.5006433741223275,0.048665408887435264,0.01800015821038826,0.05536754195027372,0.01964230926627647,0.049699919831935974,1.1162986669006516,0.03649485364360029,6.960716696351952,6.960716696351952,0.08300358478141867,0.0,0.0,4.4309724399021695,0.43167649866631314,0.0,0.43167649866631314,2.629251442687667,0.036127418325924726,4.271573642685269,0.03168421680605189,0.015933477227223214,0.04015842575279082,0.030447051119961724,0.03690523038739744,1.0572736218849323,0.029236398313356483,6.960716696351952,6.960716696351952,val_self_probe_loss
2,2.505564003643037,2.505564003643037,0.11144993569534252,0.0,0.0,4.51112104953971,0.5415030959932262,0.0,0.5415030959932262,0.95799878370896,0.052100639013342484,1.491707584811487,0.04086226250661453,0.013497330082741971,0.04710449577686423,0.01582114602327674,0.043231450839113325,1.0180224282288788,0.047755304286430225,6.917229763469341,6.917229763469341,0.08213231707952037,0.0,0.0,4.418990289202388,0.5149105557743807,0.0,0.5149105557743807,2.6020278772281378,0.043361759171907946,4.261319089131372,0.026074783124538682,0.012420696680729064,0.030632497106464752,0.025971571016790613,0.02816697580288656,0.9636034484235396,0.044419061693345537,6.917229763469341,6.938973229910646,val_self_probe_loss
3,2.478592699931364,2.478592699931364,0.10941739252775613,0.0,0.0,4.491934993526153,0.5907388632436222,0.0,0.5907388632436222,0.9391852778297748,0.05852975729857004,1.4880976655717804,0.03506707070900371,0.011060259238490681,0.03670143068621894,0.013434322745131348,0.03473456412488359,0.9440273637960038,0.06343500491162163,6.889329365506676,6.889329365506676,0.07791610043611585,0.0,0.0,4.4169614211372705,0.49641798297810996,0.0,0.49641798297810996,2.585771375665476,0.04716709045612294,4.253377276354163,0.02008880839122008,0.010824137931307836,0.021627647721249123,0.024597616216908237,0.021147868972017158,0.9002994894981384,0.06277004782087314,6.889329365506676,6.917229763469341,val_self_probe_loss
4,2.4578749698747266,2.4578749698747266,0.10552131174424607,0.0,0.0,4.476080172671707,0.5999426348738037,0.0,0.5999426348738037,0.9258856352553606,0.0627903570344367,1.4837215982733292,0.028914679361161755,0.009444558846280714,0.027415258834459517,0.012199010063089537,0.02702636983650445,0.8937318228209712,0.08519647649103933,6.862416762904906,6.862416762904906,0.07978905154311139,0.0,0.0,4.443668087076697,0.5186074107700254,0.0,0.5186074107700254,2.5706731926719226,0.05290001725650722,4.2441379280807165,0.016852366610759905,0.010036881084652236,0.015755795856347735,0.023995828972435237,0.016193718718862313,0.8539285256255488,0.08956692066992292,6.862416762904906,6.889329365506676,val_self_probe_loss
5,2.4412675884549233,2.4412675884549233,0.10528736092092962,0.0,0.0,4.435778608437296,0.5851727042972845,0.0,0.5851727042972845,0.9152163118655608,0.06749663596030255,1.479702213155484,0.025050125091973567,0.008531700308576766,0.020989521348319384,0.011391981548305629,0.0209965117471998,0.8615408778583179,0.10787136308055546,6.83543577526482,6.83543577526482,0.08575338606508623,0.0,0.0,4.391028190991893,0.5100194378669217,0.0,0.5100194378669217,2.5566395412818155,0.06033815936364743,4.232903510656046,0.015343136784637936,0.009541234224224869,0.011831731703248083,0.023705170870908992,0.012817379254963457,0.8227308997826547,0.11664838302209511,6.83543577526482,6.862416762904906,val_self_probe_loss
6,2.4247885485119407,2.4247885485119407,0.10616747923726962,0.0,0.0,4.396878772195424,0.5753308787827435,0.0,0.5753308787827435,0.9059793782490996,0.07150869919590316,1.47391412014798,0.022548550279845783,0.007502855994747839,0.016050948577388122,0.010625895826323888,0.01663991565581996,0.8391342394045758,0.12867001832578367,6.810304130178801,6.810304130178801,0.0898395559710005,0.0,0.0,4.378964977975217,0.510092424309772,0.0,0.510092424309772,2.5440723644743053,0.06509580761656998,4.221527313697875,0.01453857373747026,0.009081451410300428,0.009005537285521534,0.023267308003138983,0.010040385162700777,0.8021528846728876,0.1389950728564529,6.810304130178801,6.83543577526482,val_self_probe_loss
7,2.4049102523160686,2.4049102523160686,0.10920365136750575,0.0,0.0,4.366162585374684,0.5624427302739492,0.0,0.5624427302739492,0.8961796948909105,0.07561315396958072,1.4649880702303708,0.021560637298746507,0.006673855175449217,0.0125867778171594,0.009969454251268611,0.01353600910843302,0.8215372671018447,0.15059129898686832,6.784686180143993,6.784686180143993,0.08930047893005869,0.0,0.0,4.3380832968291285,0.4839835098441343,0.0,0.4839835098441343,2.5325462747573484,0.06479145100583202,4.2080932834781475,0.01433926688287384,0.008777822112962488,0.0068318233275728195,0.022759673533446347,0.007959673163822348,0.7915224973459422,0.1533167306680857,6.784686180143993,6.810304130178801,val_self_probe_loss
8,2.392065353356261,2.392065353356261,0.11269476083971143,0.0,0.0,4.33229503516439,0.5433726298298716,0.0,0.5433726298298716,0.8905750169131483,0.07986299678863207,1.4587995197693484,0.02079352242084942,0.005880769684657242,0.009846444629157283,0.008931013547971796,0.011014757487763427,0.8065521157010327,0.1695030947122825,6.7614675860111575,6.7614675860111575,0.09702851114250859,0.0,0.0,4.308289924763745,0.48764221175857214,0.0,0.48764221175857214,2.5222295865485944,0.07168352599284664,4.196073589308523,0.014569276342203157,0.008452049350606058,0.005137452190475804,0.022298374961662506,0.006489974478410082,0.7764249112665284,0.17684698234433713,6.7614675860111575,6.784686180143993,val_self_probe_loss
9,2.3825071795867054,2.3825071795867054,0.11446410906628902,0.0,0.0,4.303200424437204,0.5338272518436419,0.0,0.5338272518436419,0.8846861312940766,0.0818854210781737,1.455606999585219,0.020630493610851983,0.005182651195390933,0.00774003418610236,0.008151433743182755,0.009278922741486395,0.802064509279249,0.18170587144358621,6.738006875740353,6.738006875740353,0.09398498918328967,0.0,0.0,4.284671647208078,0.47461390273171183,0.0,0.47461390273171183,2.5119740574834695,0.0684349142153811,4.183370937312728,0.014612175269711833,0.008214949741554648,0.0038676048305047593,0.021818085064567765,0.005229656312684095,0.7685293107299331,0.18896063532888518,6.738006875740353,6.7614675860111575,val_self_probe_loss
10,2.3692785503115794,2.3692785503115794,0.11705517669082605,0.0,0.0,4.273933997400244,0.5162150005346857,0.0,0.5162150005346857,0.8792751764655767,0.08418701806654652,1.4483401233311968,0.020558729013336084,0.0045729403646763015,0.006136013176517089,0.0076686978374907394,0.007891504433410882,0.7950617737094866,0.19972552570108526,6.714119884549923,6.714119884549923,0.09891623739870439,0.0,0.0,4.25565791278152,0.4614507550408381,0.0,0.4614507550408381,2.5006887774931856,0.0733434052339622,4.171208558583875,0.014237537476818383,0.00810770220875231,0.002925101112319816,0.021474572295187077,0.00455543588592399,0.760960855098985,0.20296949240731896,6.714119884549923,6.738006875740353,val_self_probe_loss
