epoch,train_loss,train_action_loss,train_water_vs_other_loss,train_feature_alignment_loss,train_latent_alignment_loss,train_latent_alignment_weight,train_compound_loss,train_concentration_loss,val_loss,val_action_loss,val_water_vs_other_loss,val_feature_alignment_loss,val_latent_alignment_loss,val_latent_alignment_weight,val_compound_loss,val_concentration_loss,monitor_metric_raw,monitor_metric,monitor_key
1,4.496548183380612,1.6083054429008847,0.0,0.13292464002888038,0.13292464002888038,0.0,2.5521457233126204,1.1038579392054724,4.4831009819394065,1.6261084193275088,0.0,0.13411875175578253,0.13411875175578253,0.0,2.5410971641540527,1.081830206371489,2.5410971641540527,2.5410971641540527,val_compound_loss
2,4.4490891259814065,1.6083326566786993,0.0,0.18755571082943961,0.18755571082943961,0.0,2.5225244779435414,1.0966723898731212,4.392783414749872,1.6682396843319847,0.0,0.418487110663028,0.418487110663028,0.0,2.4780739489055814,1.0805012044452487,2.4780739489055814,2.5095855565298173,val_compound_loss
3,4.356305785910793,1.6123871954660567,0.0,0.5315294196760213,0.5315294196760213,0.0,2.463932921646764,1.0916235648765766,4.317035720461891,1.6870769659678142,0.0,1.014254776140054,1.014254776140054,0.0,2.427783341634841,1.0812901201702299,2.427783341634841,2.4780739489055814,val_compound_loss
4,4.306653512218011,1.5981695406020633,0.0,0.7450227452018273,0.7450227452018273,0.0,2.435148172908359,1.0873992007876199,4.283650375547863,1.6856186389923096,0.0,1.10435109266213,1.10435109266213,0.0,2.407159226281302,1.079098832039606,2.407159226281302,2.4529286452702115,val_compound_loss
5,4.247100673655353,1.5889829441353127,0.0,0.8737424841475865,0.8737424841475865,0.0,2.3993761917901417,1.0852955497761883,4.250484103248233,1.6779938482102894,0.0,1.1971768147888637,1.1971768147888637,0.0,2.387596766153971,1.0830809842972529,2.387596766153971,2.427783341634841,val_compound_loss
6,4.210187107166916,1.5831600831299233,0.0,0.9836173171483019,0.9836173171483019,0.0,2.3772086889024764,1.086311178232627,4.22852425348191,1.6705375115076702,0.0,1.304728600240889,1.304728600240889,0.0,2.375013237907773,1.0868491331736247,2.375013237907773,2.407159226281302,val_compound_loss
7,4.145126432338089,1.5722166722413724,0.0,1.140191956329598,1.140191956329598,0.0,2.33827083514481,1.0838896348362876,4.215315569014776,1.6654033490589686,0.0,1.4551750378949302,1.4551750378949302,0.0,2.3675312201182046,1.0914801075344993,2.3675312201182046,2.387596766153971,val_compound_loss
8,4.118407009770631,1.565387833686102,0.0,1.2085579648298561,1.2085579648298561,0.0,2.3226492783379933,1.0821139301572527,4.222941103435698,1.6879216035207112,0.0,1.721920901820773,1.721920901820773,0.0,2.3687644799550376,1.0937584070932298,2.3687644799550376,2.375013237907773,val_compound_loss
9,4.091784487325678,1.5625681331548742,0.0,1.3041816627380078,1.3041816627380078,0.0,2.3064565721643033,1.0811892987559082,4.1921510469345815,1.6481880063102359,0.0,1.6334341792833238,1.6334341792833238,0.0,2.3557030019306002,1.0979161659876506,2.3557030019306002,2.3687644799550376,val_compound_loss
10,4.0668675205694935,1.5526546145242357,0.0,1.3376289763384395,1.3376289763384395,0.0,2.2924255996784835,1.0822849339909024,4.181535493759882,1.638376235961914,0.0,1.6673840653328669,1.6673840653328669,0.0,2.3505848475864957,1.1005649282818748,2.3505848475864957,2.3675312201182046,val_compound_loss
11,4.042450086149589,1.543972340210405,0.0,1.3682812856776374,1.3682812856776374,0.0,2.2785261774819996,1.0815081583759771,4.166789145696731,1.625808976945423,0.0,1.6971458281789507,1.6971458281789507,0.0,2.343339965457008,1.0992830594380696,2.343339965457008,2.3557030019306002,val_compound_loss
12,4.034337090436743,1.5404683099221932,0.0,1.3374480277142198,1.3374480277142198,0.0,2.2740250201452348,1.0779916770243771,4.149406296866281,1.6094351496015276,0.0,1.689889527502514,1.689889527502514,0.0,2.335033280508859,1.0994343984694708,2.335033280508859,2.3505848475864957,val_compound_loss
13,4.006814195996239,1.5277388758129544,0.0,1.3799838508484226,1.3799838508484226,0.0,2.2588163216908774,1.0773320825642378,4.147887093680246,1.6140584378015428,0.0,1.756058231705711,1.756058231705711,0.0,2.3333353882744197,1.1035719485509963,2.3333353882744197,2.343339965457008,val_compound_loss
14,3.982012772686267,1.5245073730983432,0.0,1.4129452667933293,1.4129452667933293,0.0,2.243818676030194,1.0775988625470923,4.131677604856945,1.6027185462770008,0.0,1.7879887691565923,1.7879887691565923,0.0,2.324979611805507,1.1030552557536535,2.324979611805507,2.335033280508859,val_compound_loss
15,3.9556312838559426,1.5185867447070975,0.0,1.4481780663448036,1.4481780663448036,0.0,2.2282563996693443,1.0774300448478213,4.122167655399868,1.5949167069934664,0.0,1.8006692102977209,1.8006692102977209,0.0,2.3202440511612665,1.1048063664209276,2.3202440511612665,2.3333353882744197,val_compound_loss
16,3.953709392951279,1.5162667247353407,0.0,1.4508746994472055,1.4508746994472055,0.0,2.2274123146420433,1.0782942216863076,4.103625570024763,1.5760504064105807,0.0,1.7646824561414265,1.7646824561414265,0.0,2.3116030352456227,1.1048075074241275,2.3116030352456227,2.324979611805507,val_compound_loss
17,3.932315046825106,1.5061359443361797,0.0,1.4666960183826705,1.4666960183826705,0.0,2.2156366053081693,1.0762433923741497,4.0934938703264505,1.5732101031712122,0.0,1.803958161955788,1.803958161955788,0.0,2.3057124614715576,1.1051318021047682,2.3057124614715576,2.3202440511612665,val_compound_loss
18,3.914949856107197,1.5000738984062558,0.0,1.471040594711821,1.471040594711821,0.0,2.205744942660054,1.073944213844481,4.077499662126813,1.5632580007825578,0.0,1.7987483129614876,1.7987483129614876,0.0,2.297267891111828,1.105627417564392,2.297267891111828,2.3116030352456227,val_compound_loss
19,3.9043880076635453,1.4953949646974998,0.0,1.478597111645199,1.478597111645199,0.0,2.199875622199326,1.0738199145074874,4.062015874045236,1.546446062269665,0.0,1.7619509980792092,1.7619509980792092,0.0,2.29019680477324,1.1089393354597545,2.29019680477324,2.3057124614715576,val_compound_loss
20,3.8978185464465427,1.4890153963099082,0.0,1.5037519239953585,1.5037519239953585,0.0,2.196779562051965,1.0717333091629877,4.0624125344412665,1.5566065084366572,0.0,1.8569949425402141,1.8569949425402141,0.0,2.288852260226295,1.1097285123098464,2.288852260226295,2.297267891111828,val_compound_loss
21,3.8750998961231695,1.488538351008501,0.0,1.522468188925395,1.522468188925395,0.0,2.1826491772182406,1.0726577526047116,4.049838860829671,1.5483798753647577,0.0,1.8768510222434998,1.8768510222434998,0.0,2.282264925184704,1.1119998069036574,2.282264925184704,2.29019680477324,val_compound_loss
22,3.85845525554879,1.481653750888885,0.0,1.5130073898053042,1.5130073898053042,0.0,2.173326047639998,1.0720059332393466,4.0327606201171875,1.53726669720241,0.0,1.8651068693115598,1.8651068693115598,0.0,2.273319755281721,1.1132193974086217,2.273319755281721,2.288852260226295,val_compound_loss
