Experiment id: 13C_finetune_commutative_cnn_20260704_051554
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/13C/runs/13C_finetune_commutative_cnn_20260704_051554
Using pretrained encoder checkpoint: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/10C/runs/10C_pretrain_commutative_cnn_20260703_031245/10C_pretrain_commutative_cnn_20260703_031245_encoder_state.pt
Fine-tune loss PDFs: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260703_031242_495f28/outputs/13C/runs/13C_finetune_commutative_cnn_20260704_051554/loss_plots/fine_tune
Commutative CNN model: parameters=183,903 trainable=183,903 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trA=train_action_loss
    trWO=train_water_vs_other_loss
    trFA=train_feature_alignment_loss
    trCo=train_compound_loss
    trCn=train_concentration_loss
    vaL=val_loss
    vaA=val_action_loss
    vaWO=val_water_vs_other_loss
    vaFA=val_feature_alignment_loss
    vaCo=val_compound_loss
    vaCn=val_concentration_loss
     ep       lr       eta |      trL      trA     trWO     trFA     trCo     trCn |      vaL      vaA     vaWO     vaFA     vaCo     vaCn
030/120 8.00e-06   8:41:21 |   3.2193   1.2275   0.6230   2.5230   2.1277   1.0712 |   3.3821   1.1885   0.7082   2.7383   2.2621   1.1449
031/120 8.00e-06   8:35:22 |   3.2109   1.2364   0.6245   2.4996   2.1189   1.0701 |   3.3887   1.1855   0.7062   2.6471   2.2681   1.1398
032/120 8.00e-06   8:29:15 |   3.1895   1.2200   0.6239   2.5598   2.1069   1.0671 |   3.3829   1.1844   0.7082   2.7445   2.2638   1.1449
033/120 8.00e-06   8:23:17 |   3.1954   1.2271   0.6228   2.5410   2.1095   1.0683 |   3.3811   1.1821   0.7070   2.7101   2.2631   1.1418
034/120 4.00e-06   8:17:32 |   3.1871   1.2129   0.6219   2.6305   2.1070   1.0655 |   3.3674   1.1832   0.7079   2.8424   2.2522   1.1480
035/120 4.00e-06   8:12:06 |   3.1683   1.2200   0.6230   2.5906   2.0906   1.0682 |   3.3722   1.1804   0.7081   2.8282   2.2566   1.1460
036/120 4.00e-06   8:06:26 |   3.1669   1.2160   0.6231   2.6192   2.0906   1.0679 |   3.3715   1.1793   0.7084   2.8503   2.2564   1.1457
037/120 4.00e-06   8:01:08 |   3.1739   1.2246   0.6236   2.6649   2.0936   1.0691 |   3.3738   1.1765   0.7052   2.7318   2.2591   1.1386
038/120 4.00e-06   7:55:31 |   3.1707   1.2223   0.6237   2.6780   2.0918   1.0670 |   3.3713   1.1768   0.7078   2.8206   2.2570   1.1436
039/120 4.00e-06   7:49:38 |   3.1636   1.2180   0.6219   2.6336   2.0875   1.0681 |   3.3656   1.1772   0.7076   2.8855   2.2525   1.1456
040/120 2.00e-06   7:43:55 |   3.1592   1.2142   0.6229   2.6880   2.0852   1.0692 |   3.3616   1.1767   0.7069   2.8855   2.2495   1.1450
041/120 2.00e-06   7:38:02 |   3.1443   1.2129   0.6212   2.7273   2.0740   1.0677 |   3.3648   1.1755   0.7066   2.8471   2.2523   1.1433
042/120 2.00e-06   7:32:08 |   3.1505   1.2108   0.6224   2.6927   2.0794   1.0665 |   3.3653   1.1749   0.7065   2.8472   2.2529   1.1429
043/120 2.00e-06   7:26:22 |   3.1527   1.2167   0.6234   2.6508   2.0795   1.0666 |   3.3664   1.1740   0.7059   2.8277   2.2540   1.1415
044/120 2.00e-06   7:20:47 |   3.1354   1.2034   0.6208   2.6839   2.0698   1.0648 |   3.3633   1.1744   0.7068   2.8781   2.2515   1.1436
045/120 1.00e-06   7:14:59 |   3.1369   1.2072   0.6225   2.7253   2.0699   1.0686 |   3.3629   1.1742   0.7074   2.9009   2.2512   1.1438
046/120 1.00e-06   7:09:08 |   3.1445   1.2135   0.6206   2.6844   2.0740   1.0694 |   3.3639   1.1736   0.7069   2.8815   2.2522   1.1430
047/120 1.00e-06   7:03:20 |   3.1520   1.2140   0.6223   2.7367   2.0797   1.0672 |   3.3630   1.1735   0.7064   2.8747   2.2515   1.1426
048/120 1.00e-06   6:57:35 |   3.1485   1.2078   0.6218   2.6874   2.0787   1.0659 |   3.3615   1.1739   0.7068   2.9000   2.2502   1.1438
049/120 1.00e-06   6:51:48 |   3.1342   1.2060   0.6208   2.7289   2.0681   1.0672 |   3.3600   1.1738   0.7068   2.9153   2.2491   1.1438
050/120 1.00e-06   6:46:01 |   3.1430   1.2067   0.6225   2.7638   2.0747   1.0679 |   3.3620   1.1730   0.7063   2.8874   2.2509   1.1422
051/120 1.00e-06   6:40:23 |   3.1359   1.2068   0.6195   2.7043   2.0692   1.0672 |   3.3612   1.1729   0.7064   2.8978   2.2503   1.1426
052/120 1.00e-06   6:34:41 |   3.1376   1.2042   0.6238   2.7419   2.0712   1.0672 |   3.3609   1.1730   0.7064   2.9003   2.2500   1.1429
053/120 1.00e-06   6:29:00 |   3.1297   1.2029   0.6201   2.7442   2.0655   1.0673 |   3.3613   1.1727   0.7065   2.9052   2.2504   1.1429
054/120 1.00e-06   6:23:10 |   3.1314   1.2036   0.6213   2.7186   2.0666   1.0687 |   3.3597   1.1729   0.7066   2.9241   2.2491   1.1435
055/120 1.00e-06   6:17:18 |   3.1285   1.2096   0.6224   2.7479   2.0628   1.0665 |   3.3590   1.1727   0.7064   2.9271   2.2486   1.1434
056/120 1.00e-06   6:11:29 |   3.1218   1.2113   0.6217   2.7474   2.0572   1.0650 |   3.3593   1.1722   0.7063   2.9212   2.2490   1.1429
057/120 1.00e-06   6:05:42 |   3.1293   1.2031   0.6212   2.7491   2.0652   1.0669 |   3.3596   1.1719   0.7062   2.9151   2.2493   1.1427
058/120 1.00e-06   5:59:48 |   3.1243   1.2023   0.6199   2.7740   2.0616   1.0667 |   3.3600   1.1715   0.7058   2.9021   2.2497   1.1420
059/120 1.00e-06   5:53:59 |   3.1223   1.2050   0.6190   2.7429   2.0592   1.0665 |   3.3585   1.1717   0.7059   2.9125   2.2486   1.1425
060/120 1.00e-06   5:48:22 |   3.1298   1.2098   0.6230   2.7708   2.0637   1.0695 |   3.3593   1.1708   0.7052   2.8898   2.2494   1.1408
061/120 1.00e-06   5:42:33 |   3.1270   1.2021   0.6201   2.7132   2.0637   1.0669 |   3.3595   1.1707   0.7055   2.8976   2.2496   1.1413
062/120 1.00e-06   5:36:44 |   3.1357   1.2040   0.6216   2.7644   2.0698   1.0649 |   3.3603   1.1703   0.7052   2.8849   2.2503   1.1408
063/120 1.00e-06   5:30:58 |   3.1324   1.2100   0.6231   2.6793   2.0657   1.0671 |   3.3576   1.1711   0.7061   2.9307   2.2480   1.1427
064/120 1.00e-06   5:25:12 |   3.1325   1.2161   0.6214   2.7752   2.0641   1.0666 |   3.3571   1.1709   0.7059   2.9297   2.2476   1.1423
065/120 1.00e-06   5:19:32 |   3.1279   1.2125   0.6203   2.7882   2.0616   1.0644 |   3.3591   1.1700   0.7052   2.8966   2.2495   1.1409
066/120 1.00e-06   5:13:43 |   3.1253   1.2082   0.6202   2.7294   2.0607   1.0656 |   3.3577   1.1704   0.7057   2.9240   2.2482   1.1421
067/120 1.00e-06   5:07:51 |   3.1271   1.2035   0.6201   2.7839   2.0633   1.0686 |   3.3591   1.1695   0.7049   2.8911   2.2496   1.1403
068/120 1.00e-06   5:02:03 |   3.1340   1.2021   0.6202   2.7792   2.0691   1.0645 |   3.3593   1.1694   0.7048   2.8868   2.2498   1.1401
069/120 1.00e-06   4:56:21 |   3.1349   1.2086   0.6219   2.7084   2.0680   1.0680 |   3.3549   1.1706   0.7056   2.9458   2.2461   1.1428
070/120 1.00e-06   4:50:31 |   3.1141   1.1988   0.6216   2.8327   2.0546   1.0662 |   3.3559   1.1699   0.7053   2.9292   2.2470   1.1417
071/120 1.00e-06   4:44:46 |   3.1069   1.2021   0.6204   2.8021   2.0483   1.0658 |   3.3570   1.1692   0.7047   2.9049   2.2481   1.1404
072/120 1.00e-06   4:38:56 |   3.1193   1.2031   0.6221   2.7459   2.0575   1.0679 |   3.3534   1.1701   0.7054   2.9557   2.2450   1.1425
073/120 1.00e-06   4:33:11 |   3.1269   1.2092   0.6216   2.8006   2.0617   1.0676 |   3.3542   1.1693   0.7049   2.9315   2.2459   1.1410
