true_class,Water,GABAAR_Antagonist,NMDAR_Activation,AChE_Inhibitor_Reversible,mAChR_Agonist_NonSelective
Water,0.48,0.2,0.0,0.32,0.0
GABAAR_Antagonist,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666
NMDAR_Activation,0.2,0.0,0.8,0.0,0.0
AChE_Inhibitor_Reversible,0.5,0.4166666666666667,0.0,0.0,0.08333333333333333
mAChR_Agonist_NonSelective,0.5833333333333334,0.0,0.0,0.08333333333333333,0.3333333333333333
