epoch,train_loss,train_action_loss,train_water_vs_other_loss,train_feature_alignment_loss,train_latent_alignment_loss,train_latent_alignment_weight,train_compound_loss,train_concentration_loss,val_loss,val_action_loss,val_water_vs_other_loss,val_feature_alignment_loss,val_latent_alignment_loss,val_latent_alignment_weight,val_compound_loss,val_concentration_loss,monitor_metric_raw,monitor_metric,monitor_key
1,3.2872947448145147,1.3942715169260742,0.7236775853646495,0.20183339044845924,0.20183339044845924,0.0,2.5501427511689525,1.092648742060182,3.186968054090227,1.3189208848135812,0.7162512086686634,0.30438328144096194,0.30438328144096194,0.0,2.4876148927779425,1.0910073461986722,2.4876148927779425,2.4876148927779425,val_compound_loss
2,3.209820685563264,1.361711240950085,0.7028990346918661,0.6227471499689041,0.6227471499689041,0.0,2.4892913904139604,1.0881555597618144,3.0909262271154496,1.3088393892560686,0.6989315435999915,1.1605529756773085,1.1605529756773085,0.0,2.3970599742162797,1.0819071190697807,2.3970599742162797,2.4423374334971113,val_compound_loss
3,3.1584697766278786,1.3466805746315649,0.6882743447545975,0.9901187707665106,0.9901187707665106,0.0,2.4456543241228377,1.0864142264638628,3.0570197218940374,1.3005264373052687,0.6937710046768188,1.4811944053286599,1.4811944053286599,0.0,2.3672301996321905,1.0862891617275419,2.3672301996321905,2.3970599742162797,val_compound_loss
4,3.1314721864367288,1.3326407185307256,0.6777769314548957,1.1519642179368665,1.1519642179368665,0.0,2.4258699808171187,1.0834694239828322,3.0337238425300237,1.290871188754127,0.6905782534962609,1.6763366616907573,1.6763366616907573,0.0,2.3486797582535517,1.090089690117609,2.3486797582535517,2.3821450869242353,val_compound_loss
5,3.1178292143281805,1.3272879319216209,0.6708035128457206,1.1722932466990734,1.1722932466990734,0.0,2.415061219028695,1.0805333587858412,3.018370787302653,1.281351884206136,0.6870377347582862,1.9476422128223239,1.9476422128223239,0.0,2.3379991395132884,1.0941779556728544,2.3379991395132884,2.3672301996321905,val_compound_loss
6,3.095662654392303,1.3164454515648898,0.6626397128458377,1.29226041660107,1.29226041660107,0.0,2.3984222815781044,1.079708319492441,2.998097919282459,1.2708446638924735,0.6863876581192017,2.03341072194633,2.03341072194633,0.0,2.322924193881807,1.0962513060796828,2.322924193881807,2.3486797582535517,val_compound_loss
7,3.0748507547630837,1.3116327719713645,0.6588724742806147,1.3248450273953418,1.3248450273953418,0.0,2.3800462408671303,1.0799803582448808,2.9821660064515614,1.2641379265558153,0.6856676396869478,2.0870884628522965,2.0870884628522965,0.0,2.310274078732445,1.0988777875900269,2.310274078732445,2.3379991395132884,val_compound_loss
8,3.057661455144327,1.300517270804713,0.6543167861050398,1.3644815750380672,1.3644815750380672,0.0,2.3685860059879444,1.0757881207440896,2.9648966562180292,1.2557895524161202,0.6868283464795067,2.079983494821049,2.079983494821049,0.0,2.2971233072735013,1.1003398157301403,2.2971233072735013,2.322924193881807,val_compound_loss
9,3.048787645561985,1.2960749965496163,0.6508063390141442,1.3835963291860132,1.3835963291860132,0.0,2.3619486919786565,1.076446538879758,2.951633884793236,1.2451361020406086,0.6873419909250169,2.2060216973934854,2.2060216973934854,0.0,2.2890971842266263,1.1031745899291265,2.2890971842266263,2.310274078732445,val_compound_loss
10,3.0292081731967824,1.2889532850532937,0.6471644971105788,1.4882899069833377,1.4882899069833377,0.0,2.3459940751393638,1.0755266298061956,2.9391869590395974,1.238639786129906,0.6883446489061628,2.255643737103258,2.255643737103258,0.0,2.279805580774943,1.1059340408870153,2.279805580774943,2.2971233072735013,val_compound_loss
11,3.0257415859787553,1.2886133733249845,0.645407238965312,1.4332541175699107,1.4332541175699107,0.0,2.342715245075327,1.0755193681313246,2.928901445297968,1.2299408004397439,0.690111551965986,2.371330607150282,2.371330607150282,0.0,2.27377074105399,1.1086402790887016,2.27377074105399,2.2890971842266263,val_compound_loss
12,3.0021596434255127,1.2804919749340684,0.6418961242393211,1.536645070349098,1.536645070349098,0.0,2.323221654488296,1.0757682859582245,2.9138717083703902,1.2248380070640927,0.6918793604487464,2.2708368741330647,2.2708368741330647,0.0,2.261242401032221,1.1097155979701452,2.261242401032221,2.279805580774943,val_compound_loss
13,2.9936882276383656,1.278387895021489,0.6393214287581267,1.4868638686559819,1.4868638686559819,0.0,2.3159086212279303,1.0730815047309512,2.9118460019429526,1.2178345634823753,0.6921863612674531,2.4786412314999673,2.4786412314999673,0.0,2.2626464707510814,1.112012499854678,2.2626464707510814,2.27377074105399,val_compound_loss
14,2.9668951431910195,1.2698858132753423,0.6368401663959342,1.6280533692666463,1.6280533692666463,0.0,2.293370826534493,1.0737671300216958,2.8959778944651284,1.211074988047282,0.6946635870706468,2.4467182535500753,2.4467182535500753,0.0,2.2500429380507696,1.1150264399392265,2.2500429380507696,2.2626464707510814,val_compound_loss
15,2.9648979870730607,1.2641590931428173,0.6359355806042908,1.6212571122185895,1.6212571122185895,0.0,2.294281898982941,1.0725729355105647,2.8909589563097273,1.2057645888555617,0.696097595351083,2.5635135737912997,2.5635135737912997,0.0,2.2475786209106445,1.1179014217285883,2.2475786209106445,2.261242401032221,val_compound_loss
16,2.9464416346222007,1.2522804481642587,0.6335077640556154,1.6108577725669695,1.6108577725669695,0.0,2.281906291921303,1.0686675354286477,2.8843271278199696,1.2011737369355702,0.6975892498379662,2.614474542438984,2.614474542438984,0.0,2.243151278722854,1.1204364753904796,2.243151278722854,2.2500429380507696,val_compound_loss
17,2.9370568978092657,1.247017472509354,0.6314162012761232,1.6663197496186488,1.6663197496186488,0.0,2.2751940930331194,1.067997156942963,2.876916385832287,1.1972812925066267,0.6980156103769938,2.617773365406763,2.617773365406763,0.0,2.237663916179112,1.1210541838691348,2.237663916179112,2.2475786209106445,val_compound_loss
18,2.9340005160639526,1.2494716757819766,0.6288721679695068,1.7160456924053726,1.7160456924053726,0.0,2.270901179187512,1.0691593812887,2.8777857962108793,1.1943521272568476,0.7001269658406576,2.791568681952499,2.791568681952499,0.0,2.239850566500709,1.1252645537966774,2.239850566500709,2.243151278722854,val_compound_loss
