class,precision,recall,f1-score,support
control,0.46938775510204084,0.92,0.6216216216216216,25.0
high,0.8,0.16,0.26666666666666666,25.0
mid,0.4117647058823529,0.3333333333333333,0.3684210526315789,21.0
