Experiment id: 10C_pretrain_commutative_cnn_20260625_152717
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260625_152652_a8e2d2/outputs/10C/runs/10C_pretrain_commutative_cnn_20260625_152717
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260625_152652_a8e2d2/outputs/10C/runs/10C_pretrain_commutative_cnn_20260625_152717/10C_pretrain_commutative_cnn_20260625_152717_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
036/140 3.00e-05  30:22:19 |   1.9063   1.9063   0.1893   4.1589   0.3163 |   5.5450   5.5450   0.2189   4.1589   0.2927
037/140 3.00e-05  29:45:59 |   1.9301   1.9301   0.1806   4.1589   0.3115 |   5.4642   5.4642   0.2234   4.1589   0.2878
038/140 3.00e-05  29:07:34 |   1.9209   1.9209   0.1857   4.1589   0.3112 |   5.3949   5.3949   0.2408   4.1589   0.2898
039/140 3.00e-05  28:30:15 |   1.9586   1.9586   0.1762   4.1589   0.3046 |   5.3203   5.3203   0.2520   4.1589   0.2868
040/140 3.00e-05  27:54:37 |   1.9034   1.9034   0.1883   4.1589   0.2987 |   5.2686   5.2686   0.2701   4.1589   0.2790
041/140 3.00e-05  27:20:17 |   1.8219   1.8219   0.2053   4.1589   0.2935 |   5.2099   5.2099   0.2664   4.1589   0.2764
042/140 3.00e-05  26:47:08 |   1.8440   1.8440   0.1966   4.1589   0.2908 |   5.1363   5.1363   0.2995   4.1589   0.2778
043/140 3.00e-05  26:14:48 |   1.7954   1.7954   0.2081   4.1589   0.2917 |   5.0558   5.0558   0.3086   4.1589   0.2751
044/140 3.00e-05  25:53:56 |   1.8274   1.8274   0.2005   4.1589   0.2888 |   4.9656   4.9656   0.3218   4.1589   0.2718
045/140 3.00e-05  26:02:45 |   1.7144   1.7144   0.2278   4.1589   0.2890 |   4.8726   4.8726   0.3487   4.1589   0.2716
046/140 3.00e-05  26:00:31 |   1.6783   1.6783   0.2395   4.1589   0.2832 |   4.7927   4.7927   0.3733   4.1589   0.2677
047/140 3.00e-05  26:00:19 |   1.6143   1.6143   0.2616   4.1589   0.2808 |   4.6950   4.6950   0.4108   4.1589   0.2663
048/140 3.00e-05  26:01:13 |   1.6413   1.6413   0.2467   4.1589   0.2745 |   4.6020   4.6020   0.4275   4.1589   0.2628
049/140 3.00e-05  25:30:21 |   1.6875   1.6875   0.2428   4.1589   0.2725 |   4.5270   4.5270   0.4439   4.1589   0.2609
050/140 3.00e-05  25:27:31 |   1.6313   1.6313   0.2529   4.1589   0.2716 |   4.4747   4.4747   0.4765   4.1589   0.2606
051/140 3.00e-05  25:28:44 |   1.6525   1.6525   0.2523   4.1589   0.2665 |   4.3570   4.3570   0.5006   4.1589   0.2569
052/140 3.00e-05  25:01:15 |   1.4473   1.4473   0.3110   4.1589   0.2645 |   4.2909   4.2909   0.5204   4.1589   0.2577
053/140 3.00e-05  25:06:04 |   1.6013   1.6013   0.2606   4.1589   0.2624 |   4.2094   4.2094   0.5566   4.1589   0.2570
054/140 3.00e-05  25:04:07 |   1.4704   1.4704   0.3122   4.1589   0.2630 |   4.0733   4.0733   0.6115   4.1589   0.2548
055/140 3.00e-05  25:02:17 |   1.3870   1.3870   0.3414   4.1589   0.2639 |   3.9816   3.9816   0.6352   4.1589   0.2543
056/140 3.00e-05  25:01:17 |   1.3461   1.3461   0.3694   4.1589   0.2573 |   3.8921   3.8921   0.6832   4.1589   0.2538
057/140 3.00e-05  24:52:51 |   1.3614   1.3614   0.3549   4.1589   0.2586 |   3.7826   3.7826   0.7324   4.1589   0.2508
058/140 3.00e-05  24:51:12 |   1.4391   1.4391   0.3404   4.1589   0.2538 |   3.7165   3.7165   0.7501   4.1589   0.2499
