Experiment id: 10C_pretrain_commutative_cnn_20260629_100055
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260629_100031_3ff738/outputs/10C/runs/10C_pretrain_commutative_cnn_20260629_100055
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260629_100031_3ff738/outputs/10C/runs/10C_pretrain_commutative_cnn_20260629_100055/10C_pretrain_commutative_cnn_20260629_100055_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
036/140 3.00e-05  62:27:50 |   1.9454   1.9454   0.1837   4.1589   0.3414 |   5.4096   5.4096   0.2397   4.1589   0.3237
037/140 3.00e-05  61:51:29 |   1.9313   1.9313   0.1864   4.1589   0.3349 |   5.3669   5.3669   0.2432   4.1589   0.3227
038/140 3.00e-05  61:15:41 |   1.8158   1.8158   0.2144   4.1589   0.3326 |   5.2750   5.2750   0.2725   4.1589   0.3140
039/140 3.00e-05  60:39:11 |   1.7759   1.7759   0.2290   4.1589   0.3300 |   5.1778   5.1778   0.2917   4.1589   0.3144
040/140 3.00e-05  60:05:53 |   1.7952   1.7952   0.2229   4.1589   0.3287 |   5.1080   5.1080   0.3043   4.1589   0.3112
041/140 3.00e-05  59:12:59 |   1.7217   1.7217   0.2377   4.1589   0.3243 |   5.0277   5.0277   0.3289   4.1589   0.3055
042/140 3.00e-05  58:04:56 |   1.7439   1.7439   0.2249   4.1589   0.3182 |   4.9582   4.9582   0.3388   4.1589   0.3039
043/140 3.00e-05  56:31:01 |   1.6977   1.6977   0.2443   4.1589   0.3147 |   4.8627   4.8627   0.3706   4.1589   0.3033
044/140 3.00e-05  55:35:48 |   1.7804   1.7804   0.2225   4.1589   0.3103 |   4.8117   4.8117   0.3897   4.1589   0.3018
045/140 3.00e-05  54:45:46 |   1.6556   1.6556   0.2653   4.1589   0.3103 |   4.6882   4.6882   0.4269   4.1589   0.2987
046/140 3.00e-05  53:19:59 |   1.5616   1.5616   0.2993   4.1589   0.3056 |   4.6172   4.6172   0.4357   4.1589   0.2953
047/140 3.00e-05  52:24:57 |   1.6270   1.6270   0.2577   4.1589   0.3020 |   4.5417   4.5417   0.4626   4.1589   0.2952
048/140 3.00e-05  51:04:27 |   1.5151   1.5151   0.3143   4.1589   0.3006 |   4.4286   4.4286   0.5158   4.1589   0.2882
049/140 3.00e-05  50:12:23 |   1.4981   1.4981   0.3142   4.1589   0.2970 |   4.3336   4.3336   0.5479   4.1589   0.2868
050/140 3.00e-05  49:06:45 |   1.5599   1.5599   0.2845   4.1589   0.2933 |   4.2613   4.2613   0.5847   4.1589   0.2827
051/140 3.00e-05  47:55:52 |   1.4509   1.4509   0.3400   4.1589   0.2884 |   4.1366   4.1366   0.6317   4.1589   0.2834
052/140 3.00e-05  46:44:56 |   1.4287   1.4287   0.3542   4.1589   0.2863 |   4.0510   4.0510   0.6696   4.1589   0.2783
053/140 3.00e-05  45:54:10 |   1.3911   1.3911   0.3808   4.1589   0.2818 |   3.9450   3.9450   0.7191   4.1589   0.2777
054/140 3.00e-05  45:28:30 |   1.3832   1.3832   0.3916   4.1589   0.2801 |   3.8672   3.8672   0.7650   4.1589   0.2738
055/140 3.00e-05  44:30:48 |   1.3493   1.3493   0.3772   4.1589   0.2762 |   3.8112   3.8112   0.7691   4.1589   0.2733
056/140 3.00e-05  43:26:36 |   1.4593   1.4593   0.3452   4.1589   0.2740 |   3.7146   3.7146   0.8346   4.1589   0.2712
057/140 3.00e-05  42:24:05 |   1.2410   1.2410   0.4768   4.1589   0.2738 |   3.5978   3.5978   0.8987   4.1589   0.2708
058/140 3.00e-05  41:23:35 |   1.2452   1.2452   0.4417   4.1589   0.2748 |   3.4905   3.4905   0.9595   4.1589   0.2715
059/140 3.00e-05  40:24:38 |   1.2676   1.2676   0.4197   4.1589   0.2689 |   3.4149   3.4149   1.0065   4.1589   0.2670
060/140 3.00e-05  39:27:32 |   1.1515   1.1515   0.5556   4.1589   0.2698 |   3.2984   3.2984   1.0911   4.1589   0.2661
061/140 3.00e-05  38:31:53 |   1.2418   1.2418   0.4755   4.1589   0.2671 |   3.2470   3.2470   1.1146   4.1589   0.2641
062/140 3.00e-05  37:37:49 |   1.1645   1.1645   0.5289   4.1589   0.2649 |   3.1446   3.1446   1.1948   4.1589   0.2620
063/140 3.00e-05  36:44:56 |   1.0649   1.0649   0.6716   4.1589   0.2629 |   3.0182   3.0182   1.2811   4.1589   0.2607
064/140 3.00e-05  35:53:36 |   1.0560   1.0560   0.5902   4.1589   0.2583 |   2.9280   2.9280   1.3453   4.1589   0.2587
065/140 3.00e-05  35:03:23 |   1.0789   1.0789   0.5574   4.1589   0.2586 |   2.8416   2.8416   1.4168   4.1589   0.2586
066/140 3.00e-05  34:14:33 |   1.0310   1.0310   0.6328   4.1589   0.2582 |   2.7402   2.7402   1.5160   4.1589   0.2577
067/140 3.00e-05  33:26:44 |   0.8979   0.8979   0.7717   4.1589   0.2532 |   2.6442   2.6442   1.6041   4.1589   0.2563
068/140 3.00e-05  32:40:09 |   0.9609   0.9609   0.6486   4.1589   0.2541 |   2.5800   2.5800   1.6329   4.1589   0.2570
069/140 3.00e-05  31:54:35 |   0.9118   0.9118   0.7405   4.1589   0.2532 |   2.4563   2.4563   1.7820   4.1589   0.2551
070/140 3.00e-05  31:10:10 |   0.8844   0.8844   0.8958   4.1589   0.2507 |   2.4257   2.4257   1.7603   4.1589   0.2521
071/140 3.00e-05  30:26:35 |   0.9189   0.9189   0.6978   4.1589   0.2441 |   2.3551   2.3551   1.9155   4.1589   0.2486
072/140 3.00e-05  29:44:09 |   0.8084   0.8084   0.8908   4.1589   0.2444 |   2.2158   2.2158   2.0026   4.1589   0.2512
073/140 3.00e-05  29:02:32 |   0.8430   0.8430   0.7358   4.1589   0.2423 |   2.1429   2.1429   2.0974   4.1589   0.2508
074/140 3.00e-05  28:21:48 |   0.7219   0.7219   0.9851   4.1589   0.2423 |   2.0312   2.0312   2.2501   4.1589   0.2497
075/140 3.00e-05  27:41:44 |   0.8245   0.8245   0.9894   4.1589   0.2423 |   1.9797   1.9797   2.2910   4.1589   0.2489
076/140 3.00e-05  27:02:38 |   0.8432   0.8432   0.7919   4.1589   0.2397 |   1.8935   1.8935   2.4247   4.1589   0.2473
077/140 3.00e-05  26:24:13 |   0.6031   0.6031   1.1567   4.1589   0.2393 |   1.8095   1.8095   2.5304   4.1589   0.2470
078/140 3.00e-05  25:46:40 |   0.6641   0.6641   1.1550   4.1589   0.2381 |   1.7435   1.7435   2.6054   4.1589   0.2462
079/140 3.00e-05  25:09:43 |   0.6720   0.6720   1.0309   4.1589   0.2370 |   1.6804   1.6804   2.6896   4.1589   0.2463
080/140 3.00e-05  24:33:33 |   0.5871   0.5871   1.0907   4.1589   0.2328 |   1.5936   1.5936   2.8753   4.1589   0.2475
081/140 3.00e-05  23:57:54 |   0.6278   0.6278   1.1379   4.1589   0.2355 |   1.5528   1.5528   2.8616   4.1589   0.2450
082/140 3.00e-05  23:23:02 |   0.5656   0.5656   1.3648   4.1589   0.2340 |   1.4733   1.4733   3.0226   4.1589   0.2466
083/140 3.00e-05  22:48:40 |   0.5767   0.5767   1.4706   4.1589   0.2345 |   1.4198   1.4198   3.0694   4.1589   0.2447
084/140 3.00e-05  22:14:58 |   0.5060   0.5060   1.4856   4.1589   0.2315 |   1.3629   1.3629   3.1344   4.1589   0.2444
085/140 3.00e-05  21:41:46 |   0.6030   0.6030   1.5026   4.1589   0.2341 |   1.3466   1.3466   3.0481   4.1589   0.2421
086/140 3.00e-05  21:09:11 |   0.5091   0.5091   1.2324   4.1589   0.2264 |   1.2541   1.2541   3.2647   4.1589   0.2418
087/140 3.00e-05  20:37:05 |   0.5328   0.5328   1.2529   4.1589   0.2261 |   1.1878   1.1878   3.4255   4.1589   0.2410
088/140 3.00e-05  20:05:33 |   0.5978   0.5978   1.1396   4.1589   0.2239 |   1.1323   1.1323   3.5448   4.1589   0.2404
089/140 3.00e-05  19:34:28 |   0.4834   0.4834   1.6474   4.1589   0.2266 |   1.1284   1.1284   3.4133   4.1589   0.2380
090/140 3.00e-05  19:03:55 |   0.4094   0.4094   1.6742   4.1589   0.2274 |   1.0736   1.0736   3.4724   4.1589   0.2366
091/140 3.00e-05  18:33:47 |   0.3794   0.3794   1.6392   4.1589   0.2233 |   1.0083   1.0083   3.6289   4.1589   0.2387
092/140 3.00e-05  18:04:09 |   0.5686   0.5686   1.2797   4.1589   0.2236 |   0.9739   0.9739   3.7179   4.1589   0.2385
093/140 3.00e-05  17:34:51 |   0.3321   0.3321   1.7247   4.1589   0.2246 |   0.9292   0.9292   3.7315   4.1589   0.2367
094/140 3.00e-05  17:06:02 |   0.3306   0.3306   1.6403   4.1589   0.2238 |   0.8456   0.8456   4.0706   4.1589   0.2393
095/140 3.00e-05  16:37:34 |   0.3399   0.3399   1.7109   4.1589   0.2222 |   0.8254   0.8254   4.0726   4.1589   0.2386
096/140 3.00e-05  16:09:36 |   0.3639   0.3639   1.6460   4.1589   0.2216 |   0.7604   0.7604   4.2545   4.1589   0.2387
097/140 3.00e-05  15:41:57 |   0.3338   0.3338   1.9179   4.1589   0.2242 |   0.7387   0.7387   4.1784   4.1589   0.2369
098/140 3.00e-05  15:14:43 |   0.3594   0.3594   1.4472   4.1589   0.2183 |   0.6822   0.6822   4.3773   4.1589   0.2378
099/140 3.00e-05  14:47:45 |   0.4129   0.4129   1.3884   4.1589   0.2144 |   0.6410   0.6410   4.5385   4.1589   0.2378
100/140 3.00e-05  14:21:12 |   0.3146   0.3146   1.7970   4.1589   0.2202 |   0.6046   0.6046   4.6181   4.1589   0.2361
101/140 3.00e-05  13:54:58 |   0.3817   0.3817   1.3569   4.1589   0.2119 |   0.5620   0.5620   4.7554   4.1589   0.2364
102/140 3.00e-05  13:29:07 |   0.2593   0.2593   1.9562   4.1589   0.2183 |   0.5384   0.5384   4.7905   4.1589   0.2356
103/140 3.00e-05  13:03:31 |   0.2482   0.2482   1.6757   4.1589   0.2128 |   0.4996   0.4996   4.9797   4.1589   0.2362
104/140 3.00e-05  12:38:17 |   0.4149   0.4149   1.4588   4.1589   0.2146 |   0.4661   0.4661   5.2319   4.1589   0.2378
105/140 3.00e-05  12:13:20 |   0.3217   0.3217   1.4460   4.1589   0.2116 |   0.4387   0.4387   5.6216   4.1589   0.2390
106/140 3.00e-05  11:48:42 |   0.2845   0.2845   2.7185   4.1589   0.2192 |   0.4704   0.4704   4.8750   4.1589   0.2310
107/140 3.00e-05  11:24:20 |   0.3183   0.3183   1.4961   4.1589   0.2103 |   0.3995   0.3995   5.5002   4.1589   0.2369
108/140 3.00e-05  11:00:16 |   0.3540   0.3540   1.8668   4.1589   0.2146 |   0.3708   0.3708   5.4805   4.1589   0.2344
109/140 3.00e-05  10:36:25 |   0.3000   0.3000   1.8825   4.1589   0.2119 |   0.3506   0.3506   5.4420   4.1589   0.2326
110/140 3.00e-05  10:12:53 |   0.3210   0.3210   1.5096   4.1589   0.2078 |   0.3245   0.3245   5.8596   4.1589   0.2353
111/140 3.00e-05   9:49:35 |   0.2084   0.2084   2.8850   4.1589   0.2152 |   0.3371   0.3371   5.2321   4.1589   0.2291
112/140 3.00e-05   9:26:33 |   0.2185   0.2185   2.1194   4.1589   0.2110 |   0.3088   0.3088   5.5796   4.1589   0.2318
113/140 3.00e-05   9:03:44 |   0.2163   0.2163   1.9899   4.1589   0.2097 |   0.2887   0.2887   5.6138   4.1589   0.2316
114/140 3.00e-05   8:41:10 |   0.2376   0.2376   2.1271   4.1589   0.2085 |   0.2743   0.2743   5.5040   4.1589   0.2296
115/140 3.00e-05   8:18:47 |   0.2416   0.2416   2.3603   4.1589   0.2094 |   0.2742   0.2742   5.4509   4.1589   0.2286
116/140 3.00e-05   7:56:40 |   0.1856   0.1856   2.2149   4.1589   0.2096 |   0.2893   0.2893   5.2194   4.1589   0.2249
117/140 3.00e-05   7:34:44 |   0.1478   0.1478   2.2125   4.1589   0.2061 |   0.2459   0.2459   5.6153   4.1589   0.2292
118/140 3.00e-05   7:13:03 |   0.2803   0.2803   2.1356   4.1589   0.2085 |   0.2437   0.2437   5.5504   4.1589   0.2285
119/140 3.00e-05   6:51:33 |   0.3056   0.3056   1.7860   4.1589   0.2078 |   0.2285   0.2285   5.5910   4.1589   0.2268
120/140 3.00e-05   6:30:17 |   0.1862   0.1862   2.9160   4.1589   0.2111 |   0.2612   0.2612   5.2665   4.1589   0.2240
