epoch,train_loss,train_action_loss,train_water_vs_other_loss,train_feature_alignment_loss,train_latent_alignment_loss,train_latent_alignment_weight,train_compound_loss,train_concentration_loss,val_loss,val_action_loss,val_water_vs_other_loss,val_feature_alignment_loss,val_latent_alignment_loss,val_latent_alignment_weight,val_compound_loss,val_concentration_loss,monitor_metric_raw,monitor_metric,monitor_key
1,3.012314522707904,1.3698161058324985,0.6461479484088837,0.1919755368794083,0.1919755368794083,0.0,2.567655089040282,1.1042017097826358,2.9698693411690846,1.2769506091163272,0.6544060934157598,0.3093033106554122,0.3093033106554122,0.0,2.5897901625860307,1.1051666566303797,2.5897901625860307,2.5897901625860307,val_compound_loss
2,2.9524225356086853,1.3241936545523385,0.6525781936746425,0.5199478281238091,0.5199478281238091,0.0,2.5303617873519815,1.0936388597286568,2.919748204095023,1.2412054652259463,0.6546371579170227,0.9799405698265348,0.9799405698265348,0.0,2.5572592303866433,1.087835391362508,2.5572592303866433,2.573524696486337,val_compound_loss
3,2.9170278758599015,1.3055755035587089,0.6513083696996094,0.7337286717913769,0.7337286717913769,0.0,2.5014426840676203,1.0909827272728008,2.8857731024424234,1.2317053704034715,0.655106178351811,1.1932788296114831,1.1932788296114831,0.0,2.5227849824087962,1.0832402933211553,2.5227849824087962,2.5572592303866433,val_compound_loss
4,2.8857937086196173,1.292573919371953,0.6527346508212821,0.9049424521585621,0.9049424521585621,0.0,2.472861998926395,1.0920545556557872,2.855108999070667,1.2239991142636253,0.6555951975640797,1.3683224898718653,1.3683224898718653,0.0,2.490807737622942,1.0815844479061307,2.490807737622942,2.5400221063977195,val_compound_loss
5,2.854306135228071,1.2831850023496718,0.6530185031197059,1.0546878984680883,1.0546878984680883,0.0,2.4412122163823042,1.0906448846771604,2.830156053815569,1.21963103612264,0.6551271279652914,1.5047632108132045,1.5047632108132045,0.0,2.463153816404797,1.081957260767619,2.463153816404797,2.5227849824087962,val_compound_loss
6,2.8385476435303056,1.285039967645413,0.6511656008069477,1.1737119539704903,1.1737119539704903,0.0,2.4200072679570113,1.0913625230234136,2.807526179722377,1.213406108674549,0.655399963969276,1.6666189747906865,1.6666189747906865,0.0,2.439819506236485,1.0835264353525071,2.439819506236485,2.490807737622942,val_compound_loss
7,2.816399986781771,1.2770227916026242,0.6485210226641761,1.3073001162558007,1.3073001162558007,0.0,2.39894410415932,1.0906746652391222,2.790731430053711,1.2116822061084567,0.6554597417513529,1.838909238576889,1.838909238576889,0.0,2.4200520515441895,1.086297801562718,2.4200520515441895,2.463153816404797,val_compound_loss
8,2.7890106988331627,1.2701171176143424,0.6453460858612464,1.5055129136200305,1.5055129136200305,0.0,2.370408368489099,1.0904726039164911,2.7731325853438604,1.2086897577558244,0.6558668386368525,2.0863807002703347,2.0863807002703347,0.0,2.4003616174062095,1.0881113892509824,2.4003616174062095,2.439819506236485,val_compound_loss
9,2.7846653574988958,1.276444881050675,0.6404663682299316,1.6309473429407393,1.6309473429407393,0.0,2.3600533437476585,1.088888044395144,2.7657814707074846,1.2072649229140509,0.6544286693845477,2.2478159126781283,2.2478159126781283,0.0,2.3923172383081344,1.0888834851128715,2.3923172383081344,2.4200520515441895,val_compound_loss
10,2.7658068029968828,1.264476413133914,0.636396243143334,1.682558810781865,1.682558810781865,0.0,2.3465512700812527,1.0849279102194247,2.7558987708318803,1.2003072102864583,0.653849238441104,2.3296154027893428,2.3296154027893428,0.0,2.3855891795385453,1.0895546277364094,2.3855891795385453,2.4003616174062095,val_compound_loss
