epoch,train_loss,train_self_probe_loss,train_cross_probe_loss,train_lambda_cross,train_lambda_proto,train_prototype_alignment_loss,train_latent_alignment_loss,train_latent_alignment_weight,train_feature_alignment_loss,train_self_probe_local_loss,train_cross_probe_local_loss,train_self_probe_region_time_loss,train_cross_probe_region_time_loss,train_self_probe_derivative_loss,train_cross_probe_derivative_loss,train_self_probe_frequency_loss,train_cross_probe_frequency_loss,train_self_probe_correlation_loss,train_cross_probe_correlation_loss,val_loss,val_self_probe_loss,val_cross_probe_loss,val_lambda_cross,val_lambda_proto,val_prototype_alignment_loss,val_latent_alignment_loss,val_latent_alignment_weight,val_feature_alignment_loss,val_self_probe_local_loss,val_cross_probe_local_loss,val_self_probe_region_time_loss,val_cross_probe_region_time_loss,val_self_probe_derivative_loss,val_cross_probe_derivative_loss,val_self_probe_frequency_loss,val_cross_probe_frequency_loss,val_self_probe_correlation_loss,val_cross_probe_correlation_loss,monitor_metric_raw,monitor_metric,monitor_key
1,2.553115514480191,2.553115514480191,0.09050738435283581,0.0,0.0,4.579300464835308,0.3504337906902891,0.0,0.3504337906902891,0.9923489099014734,0.03593878946895788,1.4979662982978,0.03724807794446087,0.021999093913498746,0.04253118423464924,0.022518445113029754,0.04032549209704645,1.1009725444795795,0.05310343558011672,6.969967493266793,6.969967493266793,0.06419497663560121,0.0,0.0,4.470898894789796,0.299405249564544,0.0,0.299405249564544,2.6354634566521793,0.02694319527573097,4.273985346397443,0.024395506077023767,0.02039269364861228,0.03087087084325204,0.03247802330886725,0.026245207450589777,1.0434555244741972,0.05028074142170248,6.969967493266793,6.969967493266793,val_self_probe_loss
2,2.5130862424847322,2.5130862424847322,0.08384001884777119,0.0,0.0,4.549849049581785,0.39398114937720524,0.0,0.39398114937720524,0.9623450538885712,0.03904073379533089,1.4942412137592662,0.029963733098836685,0.014917625770643435,0.03360281909410111,0.018396832318782284,0.031443637866285575,1.0186156793431054,0.06580967200116451,6.929790933911475,6.929790933911475,0.06349923216408083,0.0,0.0,4.493073031028605,0.3487178435236771,0.0,0.3487178435236771,2.608395825215378,0.03472076645641593,4.266617919867916,0.018430764491883866,0.013325246253415295,0.019824855376659713,0.02910317128570461,0.019126687812046236,0.9707032697541373,0.06957637486250504,6.929790933911475,6.949879213589134,val_self_probe_loss
3,2.483471001665037,2.483471001665037,0.08661834160366906,0.0,0.0,4.53301929092826,0.43168441877668695,0.0,0.43168441877668695,0.9411718189045705,0.04790477745815637,1.490624866508659,0.025494181668604638,0.010512298719321595,0.025084214943382404,0.015279400057101093,0.024526390888034055,0.9503697285144441,0.08991379703831594,6.8959045340740905,6.8959045340740905,0.06875847770560602,0.0,0.0,4.45951325256632,0.3681285031463789,0.0,0.3681285031463789,2.5869113067222864,0.0444962417024263,4.258231535461379,0.01506054539071477,0.01031808704296879,0.013006645329990742,0.025885923216061563,0.01359941686578789,0.9118716465020031,0.0918017399977453,6.8959045340740905,6.929790933911475,val_self_probe_loss
4,2.4595305820524236,2.4595305820524236,0.09229493234408805,0.0,0.0,4.488916117587545,0.4448997325352858,0.0,0.4448997325352858,0.9255230201226297,0.05750380195963527,1.485584069309198,0.022428614061845122,0.008582057853553416,0.01875949327749099,0.01278698889990506,0.019323558294092654,0.899983711418022,0.114805741053643,6.868591914913669,6.868591914913669,0.07260387865190181,0.0,0.0,4.392218856337648,0.3585338029802216,0.0,0.3585338029802216,2.570666031304585,0.05116122401093844,4.249550833144104,0.012537402725599197,0.009380826447448282,0.009007739898118173,0.024238366262715378,0.01033615504293153,0.8721335371088538,0.11239399737823083,6.868591914913669,6.8959045340740905,val_self_probe_loss
5,2.4421638632285214,2.4421638632285214,0.0952407912188644,0.0,0.0,4.427485338288526,0.4336356332548102,0.0,0.4336356332548102,0.9138139587357788,0.06381864387758739,1.4818648984441054,0.01953371366205841,0.007310597045075161,0.014285303766785024,0.011441185973322941,0.015305523573534418,0.8702669567648326,0.13573110502716215,6.8414982290510435,6.8414982290510435,0.07995091283821171,0.0,0.0,4.383768481497439,0.35621571929558465,0.0,0.35621571929558465,2.555881543698148,0.05941540914477769,4.2385969666347645,0.011567439993855006,0.009207053851156917,0.006488779987792791,0.023618735322404816,0.008747520127698132,0.8471050079194655,0.1294223320502672,6.8414982290510435,6.868591914913669,val_self_probe_loss
6,2.4229110762820416,2.4229110762820416,0.10089359394020098,0.0,0.0,4.385185709114786,0.4229894218277329,0.0,0.4229894218277329,0.903047420023138,0.07070561067398502,1.4746352859029523,0.018494786455425814,0.006712280030839726,0.011171493397128045,0.01048736466640764,0.01260918509276455,0.8500302818682531,0.15278810036954452,6.8119804870267835,6.8119804870267835,0.08924070097829985,0.0,0.0,4.329078532153775,0.3603859551204658,0.0,0.3603859551204658,2.540573514546759,0.06773222459954505,4.225843123053287,0.01161384620119511,0.008926134070986014,0.005255152679609586,0.02274094923740681,0.0071884262121010645,0.8211603316461077,0.1572399702131378,6.8119804870267835,6.8414982290510435,val_self_probe_loss
7,2.408626799084222,2.408626799084222,0.10600654514246793,0.0,0.0,4.3314763999796595,0.4143138959038794,0.0,0.4143138959038794,0.89587250963246,0.07609063936509887,1.4686513827943972,0.01801761200919371,0.005946441158411041,0.008912046065780976,0.009660514391566148,0.010651915815672158,0.8330061666005005,0.17210181245557823,6.788302225980514,6.788302225980514,0.09646035425411248,0.0,0.0,4.2897257804870605,0.3569067127956367,0.0,0.3569067127956367,2.529450959928033,0.07390951612813873,4.214361893105673,0.011948529642468654,0.00866536519335444,0.0040532527722834805,0.022089168264513244,0.005985423506046674,0.8022672524733573,0.17980906867092442,6.788302225980514,6.8119804870267835,val_self_probe_loss
8,2.399527428424319,2.399527428424319,0.1089239546744936,0.0,0.0,4.294900486942965,0.4090183711601534,0.0,0.4090183711601534,0.8906626314758993,0.07912157453866481,1.4657852351992635,0.017667876055584782,0.005273402558126447,0.007158830920367222,0.008854864531684294,0.008760936090029555,0.8175141862404465,0.1893740518818048,6.7619382737678775,6.7619382737678775,0.0960938390691458,0.0,0.0,4.255206682667229,0.3453528148046932,0.0,0.3453528148046932,2.5168507063287016,0.07320330773266207,4.201270980592701,0.012121603696936776,0.008455947208722983,0.0030310310319251153,0.021515105746871568,0.00463466094633252,0.7910075165470194,0.19095408027956945,6.7619382737678775,6.788302225980514,val_self_probe_loss
9,2.392411155198853,2.392411155198853,0.11272573263336354,0.0,0.0,4.265471828494192,0.39787397122278434,0.0,0.39787397122278434,0.8885845948198787,0.08246932343122856,1.4616657520054495,0.017865922351078457,0.004727156624263387,0.00572841139009343,0.008400229048382585,0.007266173213842999,0.8027796182621978,0.20463532364787176,6.738306664115524,6.738306664115524,0.09949455842931078,0.0,0.0,4.2371344240555855,0.33901156771997487,0.0,0.33901156771997487,2.506584057029082,0.07544709459780166,4.188503520563245,0.013021420427129506,0.008293016520487896,0.0022855426766186585,0.021052497460778734,0.003889628321580265,0.7808161627802049,0.20131390139182903,6.738306664115524,6.7619382737678775,val_self_probe_loss
10,2.3770348528966423,2.3770348528966423,0.11563527994634815,0.0,0.0,4.241658874453096,0.3901779310109194,0.0,0.3901779310109194,0.8806638398977522,0.0850719274333489,1.454773035170316,0.017901784811949952,0.004242328438768828,0.00460957617265848,0.0075279675693988276,0.006169405615552196,0.7956959692235835,0.21784465731367975,6.719013694997715,6.719013694997715,0.11064391171339877,0.0,0.0,4.233415034987171,0.3575276447379071,0.0,0.3575276447379071,2.497328343222739,0.08523425284009542,4.179188229210142,0.013265997194540427,0.008237099942844505,0.0017452529582385875,0.020843657489247065,0.0036606484234495006,0.7670705973731805,0.2268256900473411,6.719013694997715,6.738306664115524,val_self_probe_loss
