compound,compound_class,mechanism_of_action,n_image_run_dirs,n_active_image_run_dirs,image_run_dirs,active_image_run_dirs
Quinine HCl,"Mixed classes, no known link to seizures",Alkaloid_Antimalarial,2,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 1 8 june 17 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Quinine run 2 9 6 17
Risperidone,Atypical antipsychotics,D2R_MultiReceptorAntagonist,2,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 1 June 8 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Risperidone Run 2 11 June 2018
Rolipram,"Mixed classes, unclear link to seizures",PDE4_Inhibitor,2,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram Run 2 10 8 17 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram run 1 3 8 17,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram Run 2 10 8 17 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Rolipram run 1 3 8 17
SB205607,Opioid analgesics,DOR_Agonist,2,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/SB205607 Run 1 8 May 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/SB205607 Run 2 14 May 2018,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/SB205607 Run 1 8 May 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/SB205607 Run 2 14 May 2018
SNC80,Opioid analgesics,DOR_Agonist,2,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/SNC80 run 1 1 Aug 2017 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/SNC80 run 2 4 aug 2017,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/SNC80 run 1 1 Aug 2017 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/SNC80 run 2 4 aug 2017
Strychnine,Glycine antagonist,GlyR_Antagonist,6,6,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Strychnine | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Strychnine_Round2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Strychnine_Round3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Strychnine_Round4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Strychnine Rerun 2 3 Mar 2019 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Strychnine rerun 25 Feb 2019,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Strychnine | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Strychnine_Round2 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Strychnine_Round3 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Strychnine_Round4 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Strychnine Rerun 2 3 Mar 2019 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Strychnine rerun 25 Feb 2019
Tacrine,ACh esterase inhibitors,AChE_Inhibitor_Reversible,2,0,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Tacrine Run 1 5 Mar2018 DO NOT USE | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Tacrine Run 2 9 Mar 2018 DO NOT USE,
Tetraethylammonium Cl,K+ channel blockers,Kv_Blocker_NonSelective,2,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Tetraethylammonium chloride Run 1 27 mar 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Tetraethylammonium chloride Run 2 9 April 2018,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Tetraethylammonium chloride Run 1 27 mar 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Tetraethylammonium chloride Run 2 9 April 2018
Theobromine,Methylxanthine derivatives,P1_Antagonist_PDE_Inhibitor,2,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Theobromine Run 2 17 Sept 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Theobromine run 1 14 sept 2018,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Theobromine Run 2 17 Sept 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Theobromine run 1 14 sept 2018
Theophylline,Methylxanthine derivatives,P1_Antagonist_PDE_Inhibitor,2,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Theophylline run 1 12 6 17 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Theophylline run 2 13 6 17,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Theophylline run 1 12 6 17 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Theophylline run 2 13 6 17
XE991,K+ channel blockers,Kv7_Blocker,2,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/XE991 Run 1 23 July 2018 not processed yet | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/XE991 Run 2 27 July 2018 not processed yet,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/XE991 Run 1 23 July 2018 not processed yet | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/XE991 Run 2 27 July 2018 not processed yet
Yohimbine,"Mixed classes, unclear link to seizures",a2R_Antagonist,2,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Yohimbine run 1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Yohimbine run 2 22 June 2017,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Yohimbine run 1 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Yohimbine run 2 22 June 2017
