compound,compound_class,mechanism_of_action,image_run_dir,image_run_dir_relative,source_batch,dir_name,folder_status
Strychnine,Glycine antagonist,GlyR antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Strychnine_Round2,FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Strychnine_Round2,FIRST BATCH convulsants,Strychnine_Round2,active
Strychnine,Glycine antagonist,GlyR antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Strychnine_Round3,FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Strychnine_Round3,FIRST BATCH convulsants,Strychnine_Round3,active
Strychnine,Glycine antagonist,GlyR antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Strychnine_Round4,FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/Strychnine_Round4,FIRST BATCH convulsants,Strychnine_Round4,active
Strychnine,Glycine antagonist,GlyR antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Strychnine Rerun 2 3 Mar 2019,FOURTH BATCH 2018/Strychnine Rerun 2 3 Mar 2019,FOURTH BATCH 2018,Strychnine Rerun 2 3 Mar 2019,active
Strychnine,Glycine antagonist,GlyR antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Strychnine rerun 25 Feb 2019,FOURTH BATCH 2018/Strychnine rerun 25 Feb 2019,FOURTH BATCH 2018,Strychnine rerun 25 Feb 2019,active
Tacrine,ACh esterase inhibitors,Reversible AChE inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Tacrine Run 1 5 Mar2018 DO NOT USE,FOURTH BATCH 2018/Tacrine Run 1 5 Mar2018 DO NOT USE,FOURTH BATCH 2018,Tacrine Run 1 5 Mar2018 DO NOT USE,do_not_use
Tacrine,ACh esterase inhibitors,Reversible AChE inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Tacrine Run 2 9 Mar 2018 DO NOT USE,FOURTH BATCH 2018/Tacrine Run 2 9 Mar 2018 DO NOT USE,FOURTH BATCH 2018,Tacrine Run 2 9 Mar 2018 DO NOT USE,do_not_use
Tetraethylammonium Cl,K+ channel blockers,Non-selective Kv blockade,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Tetraethylammonium chloride Run 1 27 mar 2018,FOURTH BATCH 2018/Tetraethylammonium chloride Run 1 27 mar 2018,FOURTH BATCH 2018,Tetraethylammonium chloride Run 1 27 mar 2018,active
Tetraethylammonium Cl,K+ channel blockers,Non-selective Kv blockade,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Tetraethylammonium chloride Run 2 9 April 2018,FOURTH BATCH 2018/Tetraethylammonium chloride Run 2 9 April 2018,FOURTH BATCH 2018,Tetraethylammonium chloride Run 2 9 April 2018,active
Theobromine,Methylxanthine derivatives,P1 antagonism and PDE inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Theobromine Run 2 17 Sept 2018,FOURTH BATCH 2018/Theobromine Run 2 17 Sept 2018,FOURTH BATCH 2018,Theobromine Run 2 17 Sept 2018,active
Theobromine,Methylxanthine derivatives,P1 antagonism and PDE inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Theobromine run 1 14 sept 2018,FOURTH BATCH 2018/Theobromine run 1 14 sept 2018,FOURTH BATCH 2018,Theobromine run 1 14 sept 2018,active
Theophylline,Methylxanthine derivatives,P1 antagonism and PDE inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Theophylline run 1 12 6 17,THIRD BATCH convulsants/Theophylline run 1 12 6 17,THIRD BATCH convulsants,Theophylline run 1 12 6 17,active
Theophylline,Methylxanthine derivatives,P1 antagonism and PDE inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Theophylline run 2 13 6 17,THIRD BATCH convulsants/Theophylline run 2 13 6 17,THIRD BATCH convulsants,Theophylline run 2 13 6 17,active
XE991***,K+ channel blockers,Kv7 (KCNQ) channel blockade,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/XE991 Run 1 23 July 2018 not processed yet,FOURTH BATCH 2018/XE991 Run 1 23 July 2018 not processed yet,FOURTH BATCH 2018,XE991 Run 1 23 July 2018 not processed yet,active
XE991***,K+ channel blockers,Kv7 (KCNQ) channel blockade,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/XE991 Run 2 27 July 2018 not processed yet,FOURTH BATCH 2018/XE991 Run 2 27 July 2018 not processed yet,FOURTH BATCH 2018,XE991 Run 2 27 July 2018 not processed yet,active
Yohimbine,"Mixed classes, unclear link to seizures",a2R antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Yohimbine run 1,THIRD BATCH convulsants/Yohimbine run 1,THIRD BATCH convulsants,Yohimbine run 1,active
Yohimbine,"Mixed classes, unclear link to seizures",a2R antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Yohimbine run 2 22 June 2017,THIRD BATCH convulsants/Yohimbine run 2 22 June 2017,THIRD BATCH convulsants,Yohimbine run 2 22 June 2017,active
