compound,compound_class,mechanism_of_action,image_run_dir,image_run_dir_relative,source_batch,dir_name,folder_status
Galantamine,ACh esterase inhibitors,Reversible AChE inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Galantamine Run 1 28 sept 2018,FOURTH BATCH 2018/Galantamine Run 1 28 sept 2018,FOURTH BATCH 2018,Galantamine Run 1 28 sept 2018,active
Galantamine,ACh esterase inhibitors,Reversible AChE inhibition,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Galantamine Run 2 1 Oct 2018,FOURTH BATCH 2018/Galantamine Run 2 1 Oct 2018,FOURTH BATCH 2018,Galantamine Run 2 1 Oct 2018,active
Kainic acid,Glutamate agonists,KAR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Kainic acid Run 2 31 July 2017,THIRD BATCH convulsants/Kainic acid Run 2 31 July 2017,THIRD BATCH convulsants,Kainic acid Run 2 31 July 2017,active
Kainic acid,Glutamate agonists,KAR activation,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Kainic acid run 1 27 July 2017,THIRD BATCH convulsants/Kainic acid run 1 27 July 2017,THIRD BATCH convulsants,Kainic acid run 1 27 July 2017,active
Ketamine,"Mixed classes, no known link to seizures",NMDAR antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Ketamine Run 1 30 Jan 2018,FOURTH BATCH 2018/Ketamine Run 1 30 Jan 2018,FOURTH BATCH 2018,Ketamine Run 1 30 Jan 2018,active
Ketamine,"Mixed classes, no known link to seizures",NMDAR antagonism,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Ketamine Run 2 5 feb 2018,FOURTH BATCH 2018/Ketamine Run 2 5 feb 2018,FOURTH BATCH 2018,Ketamine Run 2 5 feb 2018,active
Ketoconazole,"Mixed classes, no known link to seizures",Cytochrome P450 inhibitor,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Ketoconozole Run 1 26 Feb 2018,FOURTH BATCH 2018/Ketoconozole Run 1 26 Feb 2018,FOURTH BATCH 2018,Ketoconozole Run 1 26 Feb 2018,active
Ketoconazole,"Mixed classes, no known link to seizures",Cytochrome P450 inhibitor,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Ketoconozole Run 2 27 Feb 2018,FOURTH BATCH 2018/Ketoconozole Run 2 27 Feb 2018,FOURTH BATCH 2018,Ketoconozole Run 2 27 Feb 2018,active
Maprotiline,Tetracyclic Antidepressant,"NA reuptake inhibitor (weak 5-HT), mAChR, a1/2R/H1R antagonism",/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Maprotiline run 1 3 July 2017,THIRD BATCH convulsants/Maprotiline run 1 3 July 2017,THIRD BATCH convulsants,Maprotiline run 1 3 July 2017,active
Maprotiline,Tetracyclic Antidepressant,"NA reuptake inhibitor (weak 5-HT), mAChR, a1/2R/H1R antagonism",/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Maprotiline run 2 4 July 2017,THIRD BATCH convulsants/Maprotiline run 2 4 July 2017,THIRD BATCH convulsants,Maprotiline run 2 4 July 2017,active
