true_class,Water,GABAAR_Antagonist,NMDAR_Activation,AChE_Inhibitor_Reversible,mAChR_Agonist_NonSelective
Water,23,0,2,0,0
GABAAR_Antagonist,8,0,4,0,0
NMDAR_Activation,5,0,5,0,0
AChE_Inhibitor_Reversible,12,0,0,0,0
mAChR_Agonist_NonSelective,11,0,0,0,1
