Experiment id: 10C_pretrain_commutative_cnn_20260701_130752
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/10C/runs/10C_pretrain_commutative_cnn_20260701_130752
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260701_130749_69a864/outputs/10C/runs/10C_pretrain_commutative_cnn_20260701_130752/10C_pretrain_commutative_cnn_20260701_130752_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
036/140 3.00e-05  20:04:26 |   2.0240   2.0240   0.1697   4.1589   0.3654 |   5.6863   5.6863   0.1993   4.1589   0.3405
037/140 3.00e-05  19:46:57 |   1.9427   1.9427   0.1798   4.1589   0.3573 |   5.6416   5.6416   0.2181   4.1589   0.3436
038/140 3.00e-05  19:30:12 |   1.9879   1.9879   0.1772   4.1589   0.3574 |   5.5797   5.5797   0.2044   4.1589   0.3346
039/140 3.00e-05  19:13:41 |   1.9581   1.9581   0.1793   4.1589   0.3450 |   5.5024   5.5024   0.2246   4.1589   0.3257
040/140 3.00e-05  18:57:37 |   1.8758   1.8758   0.1944   4.1589   0.3449 |   5.4414   5.4414   0.2368   4.1589   0.3245
041/140 3.00e-05  18:41:42 |   1.8836   1.8836   0.1924   4.1589   0.3421 |   5.4037   5.4037   0.2486   4.1589   0.3241
042/140 3.00e-05  18:26:20 |   1.8642   1.8642   0.2009   4.1589   0.3390 |   5.3147   5.3147   0.2528   4.1589   0.3138
043/140 3.00e-05  18:10:58 |   1.8053   1.8053   0.2095   4.1589   0.3302 |   5.2410   5.2410   0.2801   4.1589   0.3186
044/140 3.00e-05  17:56:06 |   1.7888   1.7888   0.2108   4.1589   0.3317 |   5.1515   5.1515   0.2910   4.1589   0.3144
045/140 3.00e-05  17:41:14 |   1.8401   1.8401   0.2058   4.1589   0.3291 |   5.0868   5.0868   0.3082   4.1589   0.3144
046/140 3.00e-05  17:26:47 |   1.8329   1.8329   0.2077   4.1589   0.3245 |   5.0416   5.0416   0.3246   4.1589   0.3084
047/140 3.00e-05  17:12:22 |   1.7494   1.7494   0.2218   4.1589   0.3152 |   4.9695   4.9695   0.3215   4.1589   0.3040
048/140 3.00e-05  16:58:28 |   1.7812   1.7812   0.2136   4.1589   0.3133 |   4.8845   4.8845   0.3575   4.1589   0.3021
049/140 3.00e-05  16:44:25 |   1.6579   1.6579   0.2644   4.1589   0.3100 |   4.8214   4.8214   0.3638   4.1589   0.3007
050/140 3.00e-05  16:30:46 |   1.6801   1.6801   0.2446   4.1589   0.3082 |   4.7128   4.7128   0.4012   4.1589   0.2969
051/140 3.00e-05  16:16:59 |   1.6347   1.6347   0.2774   4.1589   0.3023 |   4.6553   4.6553   0.4121   4.1589   0.2960
052/140 3.00e-05  16:03:37 |   1.5587   1.5587   0.2834   4.1589   0.3029 |   4.5538   4.5538   0.4484   4.1589   0.2969
053/140 3.00e-05  15:50:15 |   1.5759   1.5759   0.2767   4.1589   0.2988 |   4.4765   4.4765   0.4718   4.1589   0.2913
054/140 3.00e-05  15:37:09 |   1.5222   1.5222   0.2916   4.1589   0.2972 |   4.3808   4.3808   0.5084   4.1589   0.2897
055/140 3.00e-05  15:24:08 |   1.6118   1.6118   0.2590   4.1589   0.2924 |   4.3276   4.3276   0.5204   4.1589   0.2895
056/140 3.00e-05  15:11:20 |   1.4854   1.4854   0.3166   4.1589   0.2894 |   4.2357   4.2357   0.5590   4.1589   0.2872
057/140 3.00e-05  14:58:26 |   1.5699   1.5699   0.2791   4.1589   0.2829 |   4.1906   4.1906   0.5718   4.1589   0.2804
058/140 3.00e-05  14:45:50 |   1.4696   1.4696   0.3227   4.1589   0.2826 |   4.0930   4.0930   0.6184   4.1589   0.2809
059/140 3.00e-05  14:33:10 |   1.4197   1.4197   0.3524   4.1589   0.2823 |   3.9739   3.9739   0.6629   4.1589   0.2810
060/140 3.00e-05  14:20:47 |   1.4865   1.4865   0.2961   4.1589   0.2762 |   3.8951   3.8951   0.7051   4.1589   0.2780
061/140 3.00e-05  14:08:22 |   1.5445   1.5445   0.2848   4.1589   0.2740 |   3.8366   3.8366   0.7337   4.1589   0.2780
062/140 3.00e-05  13:56:13 |   1.3611   1.3611   0.3731   4.1589   0.2760 |   3.7315   3.7315   0.7698   4.1589   0.2782
063/140 3.00e-05  13:44:01 |   1.3353   1.3353   0.3910   4.1589   0.2729 |   3.6310   3.6310   0.8324   4.1589   0.2762
064/140 3.00e-05  13:32:01 |   1.2427   1.2427   0.4109   4.1589   0.2708 |   3.5627   3.5627   0.8610   4.1589   0.2716
065/140 3.00e-05  13:19:57 |   1.3214   1.3214   0.3933   4.1589   0.2630 |   3.4615   3.4615   0.9203   4.1589   0.2679
066/140 3.00e-05  13:08:13 |   1.1569   1.1569   0.5262   4.1589   0.2653 |   3.3694   3.3694   0.9676   4.1589   0.2679
067/140 3.00e-05  12:56:15 |   1.1910   1.1910   0.4612   4.1589   0.2649 |   3.2650   3.2650   1.0380   4.1589   0.2681
068/140 3.00e-05  12:44:31 |   1.0363   1.0363   0.5811   4.1589   0.2579 |   3.2007   3.2007   1.0902   4.1589   0.2666
069/140 3.00e-05  12:32:42 |   1.2083   1.2083   0.4707   4.1589   0.2578 |   3.1043   3.1043   1.1444   4.1589   0.2671
070/140 3.00e-05  12:21:07 |   1.1269   1.1269   0.5031   4.1589   0.2554 |   3.0215   3.0215   1.1954   4.1589   0.2631
071/140 3.00e-05  12:09:27 |   1.0771   1.0771   0.5369   4.1589   0.2526 |   2.9108   2.9108   1.2848   4.1589   0.2625
072/140 3.00e-05  11:58:00 |   0.9326   0.9326   0.6628   4.1589   0.2498 |   2.8255   2.8255   1.3438   4.1589   0.2599
073/140 3.00e-05  11:46:31 |   1.0703   1.0703   0.5389   4.1589   0.2497 |   2.7403   2.7403   1.4056   4.1589   0.2595
074/140 3.00e-05  11:35:10 |   1.1552   1.1552   0.5372   4.1589   0.2487 |   2.6493   2.6493   1.4953   4.1589   0.2610
075/140 3.00e-05  11:23:46 |   0.8851   0.8851   0.7082   4.1589   0.2467 |   2.5605   2.5605   1.5702   4.1589   0.2607
076/140 3.00e-05  11:12:29 |   0.7832   0.7832   0.9378   4.1589   0.2500 |   2.4806   2.4806   1.6292   4.1589   0.2624
077/140 3.00e-05  11:01:21 |   0.9817   0.9817   0.6720   4.1589   0.2487 |   2.4265   2.4265   1.6811   4.1589   0.2603
078/140 3.00e-05  10:50:08 |   1.0702   1.0702   0.5145   4.1589   0.2420 |   2.3221   2.3221   1.7844   4.1589   0.2597
079/140 3.00e-05  10:38:50 |   0.8850   0.8850   0.6987   4.1589   0.2396 |   2.2398   2.2398   1.8627   4.1589   0.2576
080/140 3.00e-05  10:27:41 |   0.7755   0.7755   0.9256   4.1589   0.2472 |   2.1678   2.1678   1.9484   4.1589   0.2586
081/140 3.00e-05  10:16:33 |   0.7699   0.7699   0.8232   4.1589   0.2415 |   2.0525   2.0525   2.0909   4.1589   0.2586
082/140 3.00e-05  10:05:30 |   0.7127   0.7127   1.0542   4.1589   0.2430 |   1.9822   1.9822   2.1477   4.1589   0.2573
083/140 3.00e-05   9:54:27 |   0.9346   0.9346   0.6489   4.1589   0.2359 |   1.9169   1.9169   2.2397   4.1589   0.2570
084/140 3.00e-05   9:43:29 |   0.6082   0.6082   1.1383   4.1589   0.2410 |   1.8510   1.8510   2.3083   4.1589   0.2557
085/140 3.00e-05   9:32:29 |   0.6489   0.6489   1.0549   4.1589   0.2382 |   1.7760   1.7760   2.3907   4.1589   0.2556
086/140 3.00e-05   9:21:33 |   0.5868   0.5868   1.0303   4.1589   0.2321 |   1.7500   1.7500   2.3535   4.1589   0.2462
087/140 3.00e-05   9:10:34 |   0.5551   0.5551   1.2155   4.1589   0.2361 |   1.6281   1.6281   2.5690   4.1589   0.2546
088/140 3.00e-05   8:59:41 |   0.5727   0.5727   1.1348   4.1589   0.2350 |   1.5469   1.5469   2.7046   4.1589   0.2549
089/140 3.00e-05   8:48:47 |   0.6898   0.6898   0.9200   4.1589   0.2297 |   1.4795   1.4795   2.8320   4.1589   0.2551
090/140 3.00e-05   8:38:00 |   0.5611   0.5611   1.3277   4.1589   0.2313 |   1.4063   1.4063   2.9303   4.1589   0.2550
091/140 3.00e-05   8:27:09 |   0.6296   0.6296   1.0117   4.1589   0.2318 |   1.3649   1.3649   2.9995   4.1589   0.2549
092/140 3.00e-05   8:16:24 |   0.6469   0.6469   1.0529   4.1589   0.2250 |   1.2863   1.2863   3.1652   4.1589   0.2557
093/140 3.00e-05   8:05:37 |   0.5477   0.5477   1.0965   4.1589   0.2267 |   1.2225   1.2225   3.2860   4.1589   0.2572
094/140 3.00e-05   7:54:55 |   0.4814   0.4814   1.2546   4.1589   0.2292 |   1.1508   1.1508   3.4443   4.1589   0.2532
095/140 3.00e-05   7:44:11 |   0.4585   0.4585   1.3737   4.1589   0.2243 |   1.0975   1.0975   3.5827   4.1589   0.2543
096/140 3.00e-05   7:33:33 |   0.5278   0.5278   1.5629   4.1589   0.2255 |   1.0586   1.0586   3.5727   4.1589   0.2569
097/140 3.00e-05   7:22:53 |   0.4432   0.4432   1.4075   4.1589   0.2292 |   1.0004   1.0004   3.7110   4.1589   0.2571
098/140 3.00e-05   7:12:17 |   0.3535   0.3535   1.8230   4.1589   0.2283 |   0.9786   0.9786   3.6342   4.1589   0.2550
099/140 3.00e-05   7:01:39 |   0.3643   0.3643   1.4245   4.1589   0.2266 |   0.9178   0.9178   3.7943   4.1589   0.2548
100/140 3.00e-05   6:51:06 |   0.3376   0.3376   1.8850   4.1589   0.2269 |   0.9052   0.9052   3.6960   4.1589   0.2529
101/140 3.00e-05   6:40:32 |   0.3722   0.3722   1.6774   4.1589   0.2285 |   0.8542   0.8542   3.7899   4.1589   0.2518
102/140 3.00e-05   6:30:09 |   0.3800   0.3800   1.4426   4.1589   0.2225 |   0.7994   0.7994   3.9566   4.1589   0.2510
103/140 3.00e-05   6:19:36 |   0.2860   0.2860   1.7951   4.1589   0.2245 |   0.7451   0.7451   4.1132   4.1589   0.2543
104/140 3.00e-05   6:09:06 |   0.4246   0.4246   1.4444   4.1589   0.2160 |   0.7216   0.7216   4.0781   4.1589   0.2464
