Experiment id: 10C_pretrain_commutative_cnn_20260725_174329
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260725_174326_4f984d/outputs/10C/runs/10C_pretrain_commutative_cnn_20260725_174329
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260725_174326_4f984d/outputs/10C/runs/10C_pretrain_commutative_cnn_20260725_174329/10C_pretrain_commutative_cnn_20260725_174329_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
036/140 3.00e-05  33:04:12 |   2.0015   2.0015   0.1721   4.1589   0.3237 |   5.5640   5.5640   0.2073   4.1589   0.2944
037/140 3.00e-05  32:44:44 |   1.9463   1.9463   0.1799   4.1589   0.3172 |   5.4968   5.4968   0.2214   4.1589   0.2943
038/140 3.00e-05  32:24:40 |   1.9098   1.9098   0.1864   4.1589   0.3150 |   5.4213   5.4213   0.2413   4.1589   0.2970
039/140 3.00e-05  32:06:28 |   1.8817   1.8817   0.1913   4.1589   0.3137 |   5.3586   5.3586   0.2541   4.1589   0.2971
040/140 3.00e-05  31:47:50 |   1.8451   1.8451   0.2070   4.1589   0.3123 |   5.2771   5.2771   0.2691   4.1589   0.2950
041/140 3.00e-05  31:29:36 |   1.8063   1.8063   0.2127   4.1589   0.3080 |   5.1756   5.1756   0.2971   4.1589   0.2894
042/140 3.00e-05  31:11:31 |   1.7944   1.7944   0.2195   4.1589   0.3069 |   5.1033   5.1033   0.3117   4.1589   0.2895
043/140 3.00e-05  30:53:28 |   1.8050   1.8050   0.2083   4.1589   0.3038 |   5.0256   5.0256   0.3263   4.1589   0.2929
044/140 3.00e-05  30:35:02 |   1.7066   1.7066   0.2414   4.1589   0.3037 |   4.9332   4.9332   0.3455   4.1589   0.2929
045/140 3.00e-05  30:13:41 |   1.7041   1.7041   0.2389   4.1589   0.3019 |   4.8556   4.8556   0.3769   4.1589   0.2877
046/140 3.00e-05  29:50:34 |   1.6471   1.6471   0.2483   4.1589   0.2971 |   4.7673   4.7673   0.3899   4.1589   0.2838
047/140 3.00e-05  29:31:59 |   1.6884   1.6884   0.2394   4.1589   0.2933 |   4.6933   4.6933   0.4100   4.1589   0.2797
048/140 3.00e-05  29:11:13 |   1.6021   1.6021   0.2658   4.1589   0.2888 |   4.6091   4.6091   0.4295   4.1589   0.2805
049/140 3.00e-05  28:51:10 |   1.6153   1.6153   0.2710   4.1589   0.2862 |   4.5208   4.5208   0.4619   4.1589   0.2758
050/140 3.00e-05  28:32:57 |   1.5656   1.5656   0.2799   4.1589   0.2867 |   4.4254   4.4254   0.5026   4.1589   0.2788
051/140 3.00e-05  28:14:48 |   1.5610   1.5610   0.2851   4.1589   0.2886 |   4.3493   4.3493   0.5178   4.1589   0.2754
052/140 3.00e-05  27:58:02 |   1.5636   1.5636   0.2773   4.1589   0.2843 |   4.2573   4.2573   0.5577   4.1589   0.2772
053/140 3.00e-05  27:43:56 |   1.4294   1.4294   0.3420   4.1589   0.2840 |   4.1543   4.1543   0.5906   4.1589   0.2715
054/140 3.00e-05  27:29:55 |   1.5125   1.5125   0.3114   4.1589   0.2801 |   4.0987   4.0987   0.6404   4.1589   0.2697
055/140 3.00e-05  27:12:11 |   1.3732   1.3732   0.3782   4.1589   0.2778 |   4.0083   4.0083   0.6507   4.1589   0.2710
056/140 3.00e-05  26:51:32 |   1.4149   1.4149   0.3448   4.1589   0.2775 |   3.8705   3.8705   0.7205   4.1589   0.2686
057/140 3.00e-05  26:30:57 |   1.4113   1.4113   0.3471   4.1589   0.2746 |   3.7749   3.7749   0.7557   4.1589   0.2726
058/140 3.00e-05  26:11:44 |   1.2617   1.2617   0.4309   4.1589   0.2746 |   3.6798   3.6798   0.8112   4.1589   0.2742
059/140 3.00e-05  25:52:58 |   1.4212   1.4212   0.3485   4.1589   0.2701 |   3.6352   3.6352   0.8335   4.1589   0.2685
060/140 3.00e-05  25:34:21 |   1.1612   1.1612   0.4812   4.1589   0.2697 |   3.5044   3.5044   0.8853   4.1589   0.2664
061/140 3.00e-05  25:15:29 |   1.1384   1.1384   0.5234   4.1589   0.2677 |   3.3899   3.3899   0.9701   4.1589   0.2683
062/140 3.00e-05  24:56:10 |   1.2319   1.2319   0.4346   4.1589   0.2665 |   3.3292   3.3292   0.9808   4.1589   0.2692
063/140 3.00e-05  24:35:09 |   1.1451   1.1451   0.5095   4.1589   0.2681 |   3.2023   3.2023   1.0843   4.1589   0.2669
064/140 3.00e-05  24:13:44 |   1.1323   1.1323   0.4989   4.1589   0.2664 |   3.0913   3.0913   1.1488   4.1589   0.2700
065/140 3.00e-05  23:51:29 |   1.1549   1.1549   0.5026   4.1589   0.2653 |   2.9937   2.9937   1.2211   4.1589   0.2685
066/140 3.00e-05  23:30:38 |   1.0232   1.0232   0.6209   4.1589   0.2616 |   2.8899   2.8899   1.2931   4.1589   0.2670
067/140 3.00e-05  23:11:11 |   1.0603   1.0603   0.5287   4.1589   0.2610 |   2.8157   2.8157   1.3569   4.1589   0.2650
068/140 3.00e-05  22:52:47 |   1.0591   1.0591   0.6270   4.1589   0.2615 |   2.7237   2.7237   1.4167   4.1589   0.2666
069/140 3.00e-05  22:33:46 |   0.8349   0.8349   0.7687   4.1589   0.2634 |   2.6314   2.6314   1.4896   4.1589   0.2675
070/140 3.00e-05  22:14:52 |   1.0452   1.0452   0.5246   4.1589   0.2579 |   2.5368   2.5368   1.5671   4.1589   0.2655
071/140 3.00e-05  21:56:08 |   0.9829   0.9829   0.6314   4.1589   0.2574 |   2.4421   2.4421   1.6627   4.1589   0.2656
072/140 3.00e-05  21:29:57 |   0.9196   0.9196   0.6712   4.1589   0.2582 |   2.3535   2.3535   1.7386   4.1589   0.2634
073/140 3.00e-05  21:03:01 |   0.7333   0.7333   0.8379   4.1589   0.2543 |   2.2396   2.2396   1.8426   4.1589   0.2674
074/140 3.00e-05  20:36:50 |   0.8021   0.8021   0.8388   4.1589   0.2574 |   2.1485   2.1485   1.9414   4.1589   0.2662
075/140 3.00e-05  20:10:31 |   0.8102   0.8102   0.7728   4.1589   0.2578 |   2.0841   2.0841   2.0193   4.1589   0.2661
076/140 3.00e-05  19:44:42 |   0.7662   0.7662   0.8335   4.1589   0.2578 |   1.9728   1.9728   2.1527   4.1589   0.2652
077/140 3.00e-05  19:19:13 |   0.6851   0.6851   0.9427   4.1589   0.2569 |   1.8843   1.8843   2.2746   4.1589   0.2687
078/140 3.00e-05  18:54:13 |   0.7137   0.7137   0.9361   4.1589   0.2549 |   1.8009   1.8009   2.3513   4.1589   0.2658
079/140 3.00e-05  18:29:29 |   0.7397   0.7397   0.7839   4.1589   0.2471 |   1.7160   1.7160   2.4768   4.1589   0.2633
080/140 3.00e-05  18:05:14 |   0.6645   0.6645   1.1298   4.1589   0.2559 |   1.6414   1.6414   2.5771   4.1589   0.2664
081/140 3.00e-05  17:41:15 |   0.7681   0.7681   1.0001   4.1589   0.2512 |   1.5792   1.5792   2.6548   4.1589   0.2676
082/140 3.00e-05  17:17:41 |   0.5166   0.5166   1.3792   4.1589   0.2508 |   1.5134   1.5134   2.7345   4.1589   0.2663
083/140 3.00e-05  16:54:24 |   0.6001   0.6001   1.0371   4.1589   0.2475 |   1.4285   1.4285   2.8647   4.1589   0.2651
084/140 3.00e-05  16:31:29 |   0.4943   0.4943   1.3223   4.1589   0.2526 |   1.3757   1.3757   2.9427   4.1589   0.2664
085/140 3.00e-05  16:08:49 |   0.4525   0.4525   1.4532   4.1589   0.2544 |   1.3046   1.3046   3.0381   4.1589   0.2645
086/140 3.00e-05  15:46:30 |   0.4379   0.4379   1.2831   4.1589   0.2543 |   1.2181   1.2181   3.2227   4.1589   0.2703
087/140 3.00e-05  15:24:25 |   0.5498   0.5498   1.1417   4.1589   0.2463 |   1.1556   1.1556   3.3341   4.1589   0.2691
088/140 3.00e-05  15:02:39 |   0.4299   0.4299   1.4112   4.1589   0.2495 |   1.0967   1.0967   3.4419   4.1589   0.2695
089/140 3.00e-05  14:41:04 |   0.4480   0.4480   1.4260   4.1589   0.2507 |   1.0374   1.0374   3.5293   4.1589   0.2699
090/140 3.00e-05  14:19:51 |   0.3929   0.3929   1.5252   4.1589   0.2470 |   0.9723   0.9723   3.6599   4.1589   0.2687
091/140 3.00e-05  13:58:47 |   0.5428   0.5428   1.1756   4.1589   0.2464 |   0.9355   0.9355   3.7203   4.1589   0.2696
092/140 3.00e-05  13:38:02 |   0.3964   0.3964   1.4645   4.1589   0.2450 |   0.8601   0.8601   3.9676   4.1589   0.2705
093/140 3.00e-05  13:17:30 |   0.4652   0.4652   1.5517   4.1589   0.2423 |   0.8819   0.8819   3.9093   4.1589   0.2475
094/140 3.00e-05  12:57:13 |   0.3439   0.3439   1.7514   4.1589   0.2305 |   0.7981   0.7981   3.9498   4.1589   0.2551
095/140 3.00e-05  12:37:01 |   0.4216   0.4216   1.3851   4.1589   0.2314 |   0.7419   0.7419   4.1316   4.1589   0.2628
096/140 3.00e-05  12:17:05 |   0.4662   0.4662   1.3478   4.1589   0.2399 |   0.6850   0.6850   4.3772   4.1589   0.2667
097/140 3.00e-05  11:57:18 |   0.3757   0.3757   1.6168   4.1589   0.2401 |   0.6419   0.6419   4.4336   4.1589   0.2667
098/140 3.00e-05  11:37:46 |   0.3251   0.3251   1.6893   4.1589   0.2433 |   0.6060   0.6060   4.4717   4.1589   0.2690
099/140 3.00e-05  11:18:23 |   0.3270   0.3270   1.9889   4.1589   0.2453 |   0.6026   0.6026   4.3452   4.1589   0.2678
100/140 3.00e-05  10:59:14 |   0.4218   0.4218   1.7921   4.1589   0.2445 |   0.6199   0.6199   4.1198   4.1589   0.2639
101/140 3.00e-05  10:40:14 |   0.2722   0.2722   1.6307   4.1589   0.2448 |   0.5099   0.5099   4.6960   4.1589   0.2689
102/140 3.00e-05  10:21:26 |   0.2373   0.2373   1.7246   4.1589   0.2418 |   0.4665   0.4665   4.8843   4.1589   0.2711
103/140 3.00e-05  10:02:46 |   0.2402   0.2402   1.7309   4.1589   0.2439 |   0.4310   0.4310   5.0860   4.1589   0.2694
104/140 3.00e-05   9:44:19 |   0.2804   0.2804   2.0557   4.1589   0.2456 |   0.4143   0.4143   4.9619   4.1589   0.2705
105/140 3.00e-05   9:25:59 |   0.1602   0.1602   2.4394   4.1589   0.2484 |   0.4121   0.4121   4.8668   4.1589   0.2701
106/140 3.00e-05   9:07:51 |   0.3264   0.3264   2.0622   4.1589   0.2401 |   0.4685   0.4685   4.4351   4.1589   0.2612
107/140 3.00e-05   8:49:49 |   0.2951   0.2951   1.8898   4.1589   0.2393 |   0.4643   0.4643   4.4546   4.1589   0.2583
108/140 3.00e-05   8:32:00 |   0.2592   0.2592   1.5528   4.1589   0.2335 |   0.3344   0.3344   5.1483   4.1589   0.2678
109/140 3.00e-05   8:14:16 |   0.3022   0.3022   1.5174   4.1589   0.2368 |   0.2953   0.2953   5.3734   4.1589   0.2695
110/140 3.00e-05   7:56:43 |   0.1836   0.1836   2.1110   4.1589   0.2395 |   0.2757   0.2757   5.4831   4.1589   0.2673
111/140 3.00e-05   7:39:16 |   0.2589   0.2589   1.9480   4.1589   0.2380 |   0.2652   0.2652   5.5012   4.1589   0.2670
112/140 3.00e-05   7:21:59 |   0.2067   0.2067   2.1762   4.1589   0.2409 |   0.2710   0.2710   5.3139   4.1589   0.2628
113/140 3.00e-05   7:04:47 |   0.1686   0.1686   2.1510   4.1589   0.2319 |   0.2355   0.2355   5.5703   4.1589   0.2651
114/140 3.00e-05   6:47:46 |   0.1713   0.1713   2.1717   4.1589   0.2358 |   0.2177   0.2177   5.7467   4.1589   0.2684
115/140 3.00e-05   6:30:49 |   0.1481   0.1481   2.2728   4.1589   0.2390 |   0.2035   0.2035   5.7285   4.1589   0.2645
116/140 3.00e-05   6:14:02 |   0.2058   0.2058   2.1065   4.1589   0.2357 |   0.1990   0.1990   5.7438   4.1589   0.2622
117/140 3.00e-05   5:57:20 |   0.2033   0.2033   1.8692   4.1589   0.2316 |   0.1766   0.1766   5.9339   4.1589   0.2679
118/140 3.00e-05   5:40:46 |   0.2467   0.2467   2.0210   4.1589   0.2301 |   0.1630   0.1630   6.0619   4.1589   0.2634
119/140 3.00e-05   5:24:18 |   0.2049   0.2049   2.0546   4.1589   0.2323 |   0.1617   0.1617   6.0675   4.1589   0.2609
120/140 3.00e-05   5:07:57 |   0.1584   0.1584   1.9031   4.1589   0.2299 |   0.1462   0.1462   6.2697   4.1589   0.2650
121/140 3.00e-05   4:51:42 |   0.2300   0.2300   2.5047   4.1589   0.2335 |   0.1580   0.1580   6.0920   4.1589   0.2621
122/140 3.00e-05   4:35:34 |   0.1845   0.1845   2.7333   4.1589   0.2320 |   0.1505   0.1505   6.0261   4.1589   0.2639
123/140 3.00e-05   4:19:31 |   0.1375   0.1375   2.5520   4.1589   0.2340 |   0.1620   0.1620   5.8677   4.1589   0.2619
124/140 3.00e-05   4:03:35 |   0.1900   0.1900   2.0789   4.1589   0.2299 |   0.1482   0.1482   6.0375   4.1589   0.2628
125/140 3.00e-05   3:47:43 |   0.1469   0.1469   2.2031   4.1589   0.2270 |   0.1333   0.1333   6.1391   4.1589   0.2594
126/140 3.00e-05   3:31:58 |   0.1567   0.1567   2.7773   4.1589   0.2343 |   0.1944   0.1944   5.5957   4.1589   0.2570
127/140 3.00e-05   3:16:18 |   0.1551   0.1551   2.0837   4.1589   0.2272 |   0.1312   0.1312   6.1102   4.1589   0.2619
128/140 3.00e-05   3:00:43 |   0.1461   0.1461   2.6154   4.1589   0.2323 |   0.1833   0.1833   5.6785   4.1589   0.2553
129/140 3.00e-05   2:45:13 |   0.2072   0.2072   1.9470   4.1589   0.2285 |   0.1284   0.1284   6.1091   4.1589   0.2624
130/140 3.00e-05   2:29:49 |   0.2064   0.2064   2.6328   4.1589   0.2276 |   0.1305   0.1305   5.9853   4.1589   0.2595
131/140 3.00e-05   2:14:29 |   0.1364   0.1364   2.3590   4.1589   0.2293 |   0.1275   0.1275   6.1181   4.1589   0.2599
132/140 3.00e-05   1:59:15 |   0.1829   0.1829   2.0828   4.1589   0.2283 |   0.1232   0.1232   6.0860   4.1589   0.2591
